top_k,n_total,n_positive_total,n_positive_in_topk,precision_at_k,recall_at_k,f1_at_k,hit_rate_at_k,baseline_positive_rate,enrichment_factor_at_k,ndcg_at_k,average_precision_at_k,model_name,display_name,ranking_target
10,1806,91,0,0.0,0.0,0.0,0.0,0.05039,0.0,0.0,0.0,DNABERT2_multimodal,DNABERT-2 multimodal,pathway_supported
25,1806,91,1,0.04,0.01099,0.01724,1.0,0.05039,0.79385,0.02682,0.04348,DNABERT2_multimodal,DNABERT-2 multimodal,pathway_supported
50,1806,91,3,0.06,0.03297,0.04255,1.0,0.05039,1.19077,0.04725,0.06269,DNABERT2_multimodal,DNABERT-2 multimodal,pathway_supported
100,1806,91,7,0.07,0.07692,0.0733,1.0,0.05039,1.38923,0.06397,0.06819,DNABERT2_multimodal,DNABERT-2 multimodal,pathway_supported
150,1806,91,8,0.05333,0.08791,0.06639,1.0,0.05039,1.05846,0.07104,0.06638,DNABERT2_multimodal,DNABERT-2 multimodal,pathway_supported
200,1806,91,11,0.055,0.12088,0.0756,1.0,0.05039,1.09154,0.09159,0.0638,DNABERT2_multimodal,DNABERT-2 multimodal,pathway_supported
300,1806,91,16,0.05333,0.17582,0.08184,1.0,0.05039,1.05846,0.12364,0.06129,DNABERT2_multimodal,DNABERT-2 multimodal,pathway_supported
500,1806,91,29,0.058,0.31868,0.09814,1.0,0.05039,1.15108,0.2006,0.0595,DNABERT2_multimodal,DNABERT-2 multimodal,pathway_supported
10,1806,91,0,0.0,0.0,0.0,0.0,0.05039,0.0,0.0,0.0,Genomic_only_K3K4Basic,Genomic-only,pathway_supported
25,1806,91,0,0.0,0.0,0.0,0.0,0.05039,0.0,0.0,0.0,Genomic_only_K3K4Basic,Genomic-only,pathway_supported
50,1806,91,3,0.06,0.03297,0.04255,1.0,0.05039,1.19077,0.0435,0.04676,Genomic_only_K3K4Basic,Genomic-only,pathway_supported
100,1806,91,4,0.04,0.04396,0.04188,1.0,0.05039,0.79385,0.03665,0.04712,Genomic_only_K3K4Basic,Genomic-only,pathway_supported
150,1806,91,7,0.04667,0.07692,0.05809,1.0,0.05039,0.92615,0.05846,0.04667,Genomic_only_K3K4Basic,Genomic-only,pathway_supported
200,1806,91,10,0.05,0.10989,0.06873,1.0,0.05039,0.99231,0.07897,0.04786,Genomic_only_K3K4Basic,Genomic-only,pathway_supported
300,1806,91,13,0.04333,0.14286,0.0665,1.0,0.05039,0.86,0.09841,0.04855,Genomic_only_K3K4Basic,Genomic-only,pathway_supported
500,1806,91,21,0.042,0.23077,0.07107,1.0,0.05039,0.83354,0.14605,0.04733,Genomic_only_K3K4Basic,Genomic-only,pathway_supported
10,1806,91,1,0.1,0.01099,0.0198,1.0,0.05039,1.98462,0.06362,0.1,Handcrafted_multimodal,Handcrafted multimodal,pathway_supported
25,1806,91,1,0.04,0.01099,0.01724,1.0,0.05039,0.79385,0.03555,0.1,Handcrafted_multimodal,Handcrafted multimodal,pathway_supported
50,1806,91,2,0.04,0.02198,0.02837,1.0,0.05039,0.79385,0.03837,0.08571,Handcrafted_multimodal,Handcrafted multimodal,pathway_supported
100,1806,91,4,0.04,0.04396,0.04188,1.0,0.05039,0.79385,0.04192,0.06753,Handcrafted_multimodal,Handcrafted multimodal,pathway_supported
150,1806,91,8,0.05333,0.08791,0.06639,1.0,0.05039,1.05846,0.07106,0.05888,Handcrafted_multimodal,Handcrafted multimodal,pathway_supported
200,1806,91,9,0.045,0.0989,0.06186,1.0,0.05039,0.89308,0.07798,0.05833,Handcrafted_multimodal,Handcrafted multimodal,pathway_supported
300,1806,91,17,0.05667,0.18681,0.08696,1.0,0.05039,1.12462,0.12934,0.05616,Handcrafted_multimodal,Handcrafted multimodal,pathway_supported
500,1806,91,32,0.064,0.35165,0.10829,1.0,0.05039,1.27015,0.21751,0.05773,Handcrafted_multimodal,Handcrafted multimodal,pathway_supported
10,1806,91,1,0.1,0.01099,0.0198,1.0,0.05039,1.98462,0.0784,0.16667,Protein_only_ProtBERT_SW,Protein-only,pathway_supported
25,1806,91,1,0.04,0.01099,0.01724,1.0,0.05039,0.79385,0.0438,0.16667,Protein_only_ProtBERT_SW,Protein-only,pathway_supported
50,1806,91,2,0.04,0.02198,0.02837,1.0,0.05039,0.79385,0.04219,0.10897,Protein_only_ProtBERT_SW,Protein-only,pathway_supported
100,1806,91,4,0.04,0.04396,0.04188,1.0,0.05039,0.79385,0.04363,0.07443,Protein_only_ProtBERT_SW,Protein-only,pathway_supported
150,1806,91,7,0.04667,0.07692,0.05809,1.0,0.05039,0.92615,0.06507,0.0607,Protein_only_ProtBERT_SW,Protein-only,pathway_supported
200,1806,91,10,0.05,0.10989,0.06873,1.0,0.05039,0.99231,0.08578,0.05848,Protein_only_ProtBERT_SW,Protein-only,pathway_supported
300,1806,91,16,0.05333,0.17582,0.08184,1.0,0.05039,1.05846,0.12484,0.05844,Protein_only_ProtBERT_SW,Protein-only,pathway_supported
500,1806,91,26,0.052,0.28571,0.08799,1.0,0.05039,1.032,0.18405,0.0567,Protein_only_ProtBERT_SW,Protein-only,pathway_supported
10,1806,91,0,0.0,0.0,0.0,0.0,0.05039,0.0,0.0,0.0,DNABERT2_multimodal,DNABERT-2 multimodal,external_supported
25,1806,91,1,0.04,0.01099,0.01724,1.0,0.05039,0.79385,0.02682,0.04348,DNABERT2_multimodal,DNABERT-2 multimodal,external_supported
50,1806,91,3,0.06,0.03297,0.04255,1.0,0.05039,1.19077,0.04725,0.06269,DNABERT2_multimodal,DNABERT-2 multimodal,external_supported
100,1806,91,7,0.07,0.07692,0.0733,1.0,0.05039,1.38923,0.06397,0.06819,DNABERT2_multimodal,DNABERT-2 multimodal,external_supported
150,1806,91,8,0.05333,0.08791,0.06639,1.0,0.05039,1.05846,0.07104,0.06638,DNABERT2_multimodal,DNABERT-2 multimodal,external_supported
200,1806,91,11,0.055,0.12088,0.0756,1.0,0.05039,1.09154,0.09159,0.0638,DNABERT2_multimodal,DNABERT-2 multimodal,external_supported
300,1806,91,16,0.05333,0.17582,0.08184,1.0,0.05039,1.05846,0.12364,0.06129,DNABERT2_multimodal,DNABERT-2 multimodal,external_supported
500,1806,91,30,0.06,0.32967,0.10152,1.0,0.05039,1.19077,0.20654,0.06001,DNABERT2_multimodal,DNABERT-2 multimodal,external_supported
10,1806,91,0,0.0,0.0,0.0,0.0,0.05039,0.0,0.0,0.0,Genomic_only_K3K4Basic,Genomic-only,external_supported
25,1806,91,0,0.0,0.0,0.0,0.0,0.05039,0.0,0.0,0.0,Genomic_only_K3K4Basic,Genomic-only,external_supported
50,1806,91,3,0.06,0.03297,0.04255,1.0,0.05039,1.19077,0.0435,0.04676,Genomic_only_K3K4Basic,Genomic-only,external_supported
100,1806,91,4,0.04,0.04396,0.04188,1.0,0.05039,0.79385,0.03665,0.04712,Genomic_only_K3K4Basic,Genomic-only,external_supported
150,1806,91,7,0.04667,0.07692,0.05809,1.0,0.05039,0.92615,0.05846,0.04667,Genomic_only_K3K4Basic,Genomic-only,external_supported
200,1806,91,10,0.05,0.10989,0.06873,1.0,0.05039,0.99231,0.07897,0.04786,Genomic_only_K3K4Basic,Genomic-only,external_supported
300,1806,91,14,0.04667,0.15385,0.07161,1.0,0.05039,0.92615,0.10497,0.04954,Genomic_only_K3K4Basic,Genomic-only,external_supported
500,1806,91,22,0.044,0.24176,0.07445,1.0,0.05039,0.87323,0.15261,0.04898,Genomic_only_K3K4Basic,Genomic-only,external_supported
10,1806,91,1,0.1,0.01099,0.0198,1.0,0.05039,1.98462,0.06362,0.1,Handcrafted_multimodal,Handcrafted multimodal,external_supported
25,1806,91,1,0.04,0.01099,0.01724,1.0,0.05039,0.79385,0.03555,0.1,Handcrafted_multimodal,Handcrafted multimodal,external_supported
50,1806,91,2,0.04,0.02198,0.02837,1.0,0.05039,0.79385,0.03837,0.08571,Handcrafted_multimodal,Handcrafted multimodal,external_supported
100,1806,91,4,0.04,0.04396,0.04188,1.0,0.05039,0.79385,0.04192,0.06753,Handcrafted_multimodal,Handcrafted multimodal,external_supported
150,1806,91,8,0.05333,0.08791,0.06639,1.0,0.05039,1.05846,0.07106,0.05888,Handcrafted_multimodal,Handcrafted multimodal,external_supported
200,1806,91,9,0.045,0.0989,0.06186,1.0,0.05039,0.89308,0.07798,0.05833,Handcrafted_multimodal,Handcrafted multimodal,external_supported
300,1806,91,17,0.05667,0.18681,0.08696,1.0,0.05039,1.12462,0.12934,0.05616,Handcrafted_multimodal,Handcrafted multimodal,external_supported
500,1806,91,32,0.064,0.35165,0.10829,1.0,0.05039,1.27015,0.21751,0.05773,Handcrafted_multimodal,Handcrafted multimodal,external_supported
10,1806,91,1,0.1,0.01099,0.0198,1.0,0.05039,1.98462,0.0784,0.16667,Protein_only_ProtBERT_SW,Protein-only,external_supported
25,1806,91,1,0.04,0.01099,0.01724,1.0,0.05039,0.79385,0.0438,0.16667,Protein_only_ProtBERT_SW,Protein-only,external_supported
50,1806,91,2,0.04,0.02198,0.02837,1.0,0.05039,0.79385,0.04219,0.10897,Protein_only_ProtBERT_SW,Protein-only,external_supported
100,1806,91,4,0.04,0.04396,0.04188,1.0,0.05039,0.79385,0.04363,0.07443,Protein_only_ProtBERT_SW,Protein-only,external_supported
150,1806,91,7,0.04667,0.07692,0.05809,1.0,0.05039,0.92615,0.06507,0.0607,Protein_only_ProtBERT_SW,Protein-only,external_supported
200,1806,91,10,0.05,0.10989,0.06873,1.0,0.05039,0.99231,0.08578,0.05848,Protein_only_ProtBERT_SW,Protein-only,external_supported
300,1806,91,16,0.05333,0.17582,0.08184,1.0,0.05039,1.05846,0.12484,0.05844,Protein_only_ProtBERT_SW,Protein-only,external_supported
500,1806,91,27,0.054,0.2967,0.09137,1.0,0.05039,1.07169,0.18984,0.05682,Protein_only_ProtBERT_SW,Protein-only,external_supported
