top_k,n_total,n_positive_total,n_positive_in_topk,precision_at_k,recall_at_k,f1_at_k,hit_rate_at_k,baseline_positive_rate,enrichment_factor_at_k,ndcg_at_k,average_precision_at_k,model_name,display_name,ranking_target
10,1806,903,7,0.7,0.00775,0.01533,1.0,0.5,1.4,0.7218,0.75119,DNABERT2_multimodal,DNABERT-2 multimodal,current_positive_label
25,1806,903,20,0.8,0.02215,0.0431,1.0,0.5,1.6,0.78381,0.75673,DNABERT2_multimodal,DNABERT-2 multimodal,current_positive_label
50,1806,903,44,0.88,0.04873,0.09234,1.0,0.5,1.76,0.84981,0.81281,DNABERT2_multimodal,DNABERT-2 multimodal,current_positive_label
100,1806,903,83,0.83,0.09192,0.1655,1.0,0.5,1.66,0.82346,0.83301,DNABERT2_multimodal,DNABERT-2 multimodal,current_positive_label
150,1806,903,120,0.8,0.13289,0.22792,1.0,0.5,1.6,0.80211,0.82669,DNABERT2_multimodal,DNABERT-2 multimodal,current_positive_label
200,1806,903,157,0.785,0.17386,0.28468,1.0,0.5,1.57,0.79015,0.81862,DNABERT2_multimodal,DNABERT-2 multimodal,current_positive_label
300,1806,903,240,0.8,0.26578,0.399,1.0,0.5,1.6,0.80105,0.81239,DNABERT2_multimodal,DNABERT-2 multimodal,current_positive_label
500,1806,903,380,0.76,0.42082,0.5417,1.0,0.5,1.52,0.76794,0.79996,DNABERT2_multimodal,DNABERT-2 multimodal,current_positive_label
10,1806,903,9,0.9,0.00997,0.01972,1.0,0.5,1.8,0.77991,0.78567,Genomic_only_K3K4Basic,Genomic-only,current_positive_label
25,1806,903,21,0.84,0.02326,0.04526,1.0,0.5,1.68,0.79051,0.83771,Genomic_only_K3K4Basic,Genomic-only,current_positive_label
50,1806,903,38,0.76,0.04208,0.07975,1.0,0.5,1.52,0.74876,0.81337,Genomic_only_K3K4Basic,Genomic-only,current_positive_label
100,1806,903,77,0.77,0.08527,0.15354,1.0,0.5,1.54,0.76205,0.79789,Genomic_only_K3K4Basic,Genomic-only,current_positive_label
150,1806,903,110,0.73333,0.12182,0.20893,1.0,0.5,1.46667,0.73624,0.78512,Genomic_only_K3K4Basic,Genomic-only,current_positive_label
200,1806,903,150,0.75,0.16611,0.27199,1.0,0.5,1.5,0.74861,0.77453,Genomic_only_K3K4Basic,Genomic-only,current_positive_label
300,1806,903,216,0.72,0.2392,0.3591,1.0,0.5,1.44,0.72577,0.76664,Genomic_only_K3K4Basic,Genomic-only,current_positive_label
500,1806,903,332,0.664,0.36766,0.47327,1.0,0.5,1.328,0.6781,0.7407,Genomic_only_K3K4Basic,Genomic-only,current_positive_label
10,1806,903,9,0.9,0.00997,0.01972,1.0,0.5,1.8,0.9216,0.94678,Handcrafted_multimodal,Handcrafted multimodal,current_positive_label
25,1806,903,23,0.92,0.02547,0.04957,1.0,0.5,1.84,0.92611,0.9244,Handcrafted_multimodal,Handcrafted multimodal,current_positive_label
50,1806,903,39,0.78,0.04319,0.08185,1.0,0.5,1.56,0.81838,0.87777,Handcrafted_multimodal,Handcrafted multimodal,current_positive_label
100,1806,903,84,0.84,0.09302,0.1675,1.0,0.5,1.68,0.84979,0.84627,Handcrafted_multimodal,Handcrafted multimodal,current_positive_label
150,1806,903,125,0.83333,0.13843,0.23742,1.0,0.5,1.66667,0.84249,0.84518,Handcrafted_multimodal,Handcrafted multimodal,current_positive_label
200,1806,903,166,0.83,0.18383,0.301,1.0,0.5,1.66,0.83829,0.84278,Handcrafted_multimodal,Handcrafted multimodal,current_positive_label
300,1806,903,235,0.78333,0.26024,0.39069,1.0,0.5,1.56667,0.7993,0.83369,Handcrafted_multimodal,Handcrafted multimodal,current_positive_label
500,1806,903,367,0.734,0.40642,0.52316,1.0,0.5,1.468,0.75402,0.80894,Handcrafted_multimodal,Handcrafted multimodal,current_positive_label
10,1806,903,7,0.7,0.00775,0.01533,1.0,0.5,1.4,0.5965,0.60833,Protein_only_ProtBERT_SW,Protein-only,current_positive_label
25,1806,903,20,0.8,0.02215,0.0431,1.0,0.5,1.6,0.71581,0.71407,Protein_only_ProtBERT_SW,Protein-only,current_positive_label
50,1806,903,41,0.82,0.0454,0.08604,1.0,0.5,1.64,0.75776,0.7472,Protein_only_ProtBERT_SW,Protein-only,current_positive_label
100,1806,903,77,0.77,0.08527,0.15354,1.0,0.5,1.54,0.74325,0.76746,Protein_only_ProtBERT_SW,Protein-only,current_positive_label
150,1806,903,121,0.80667,0.134,0.22982,1.0,0.5,1.61333,0.77846,0.77818,Protein_only_ProtBERT_SW,Protein-only,current_positive_label
200,1806,903,163,0.815,0.18051,0.29556,1.0,0.5,1.63,0.79048,0.78799,Protein_only_ProtBERT_SW,Protein-only,current_positive_label
300,1806,903,232,0.77333,0.25692,0.3857,1.0,0.5,1.54667,0.76384,0.78912,Protein_only_ProtBERT_SW,Protein-only,current_positive_label
500,1806,903,367,0.734,0.40642,0.52316,1.0,0.5,1.468,0.73459,0.77445,Protein_only_ProtBERT_SW,Protein-only,current_positive_label
