model,feature_set,tuned_for,best_threshold,val_accuracy,val_precision,val_recall_sensitivity,val_specificity,val_balanced_accuracy,val_f1,val_mcc,val_roc_auc,val_pr_auc,val_tn,val_fp,val_fn,val_tp,test_accuracy,test_precision,test_recall_sensitivity,test_specificity,test_balanced_accuracy,test_f1,test_mcc,test_roc_auc,test_pr_auc,test_tn,test_fp,test_fn,test_tp
Random Forest,K3 + K4 + Basic,mcc,0.6000000000000005,0.6346863468634686,0.8490566037735849,0.33088235294117646,0.9407407407407408,0.6358115468409586,0.47619047619047616,0.3424024378976467,0.670751633986928,0.7044422891927502,127,8,91,45,0.5793357933579336,0.6842105263157895,0.28888888888888886,0.8676470588235294,0.5782679738562091,0.40625,0.19204637361434412,0.6496187363834423,0.6327321999591006,118,18,96,39
Random Forest,K3 + K4 + Basic,f1,0.22400000000000014,0.5055350553505535,0.5037037037037037,1.0,0.007407407407407408,0.5037037037037037,0.6699507389162561,0.06108304630544683,0.670751633986928,0.7044422891927502,1,134,0,136,0.4981549815498155,0.4981549815498155,1.0,0.0,0.5,0.6650246305418719,0.0,0.6496187363834423,0.6327321999591006,0,136,0,135
Random Forest,K3 + K4 + Basic,balanced_accuracy,0.5180000000000005,0.6457564575645757,0.6923076923076923,0.5294117647058824,0.762962962962963,0.6461873638344227,0.6,0.3006085048303226,0.670751633986928,0.7044422891927502,103,32,64,72,0.6383763837638377,0.6434108527131783,0.6148148148148148,0.6617647058823529,0.6382897603485839,0.6287878787878788,0.27689641361474043,0.6496187363834423,0.6327321999591006,90,46,52,83
Random Forest,K3 + K4 + Basic,youden_j,0.5180000000000005,0.6457564575645757,0.6923076923076923,0.5294117647058824,0.762962962962963,0.6461873638344227,0.6,0.3006085048303226,0.670751633986928,0.7044422891927502,103,32,64,72,0.6383763837638377,0.6434108527131783,0.6148148148148148,0.6617647058823529,0.6382897603485839,0.6287878787878788,0.27689641361474043,0.6496187363834423,0.6327321999591006,90,46,52,83
SVM RBF,K3 + K4 + Basic,mcc,0.5610000000000005,0.6383763837638377,0.7317073170731707,0.4411764705882353,0.837037037037037,0.6391067538126362,0.5504587155963303,0.30281453817732307,0.6499183006535948,0.6691874616306227,113,22,76,60,0.6309963099630996,0.6842105263157895,0.48148148148148145,0.7794117647058824,0.6304466230936819,0.5652173913043478,0.27338900125466986,0.6764705882352942,0.6504049696069261,106,30,70,65
SVM RBF,K3 + K4 + Basic,f1,0.23400000000000015,0.5092250922509225,0.5055762081784386,1.0,0.014814814814814815,0.5074074074074074,0.671604938271605,0.08654488950215276,0.6499183006535948,0.6691874616306227,2,133,0,136,0.4981549815498155,0.4981549815498155,1.0,0.0,0.5,0.6650246305418719,0.0,0.6764705882352942,0.6504049696069261,0,136,0,135
SVM RBF,K3 + K4 + Basic,balanced_accuracy,0.5610000000000005,0.6383763837638377,0.7317073170731707,0.4411764705882353,0.837037037037037,0.6391067538126362,0.5504587155963303,0.30281453817732307,0.6499183006535948,0.6691874616306227,113,22,76,60,0.6309963099630996,0.6842105263157895,0.48148148148148145,0.7794117647058824,0.6304466230936819,0.5652173913043478,0.27338900125466986,0.6764705882352942,0.6504049696069261,106,30,70,65
SVM RBF,K3 + K4 + Basic,youden_j,0.5610000000000005,0.6383763837638377,0.7317073170731707,0.4411764705882353,0.837037037037037,0.6391067538126362,0.5504587155963303,0.30281453817732307,0.6499183006535948,0.6691874616306227,113,22,76,60,0.6309963099630996,0.6842105263157895,0.48148148148148145,0.7794117647058824,0.6304466230936819,0.5652173913043478,0.27338900125466986,0.6764705882352942,0.6504049696069261,106,30,70,65
Logistic Regression,K3 + K4 + Basic,mcc,0.5670000000000005,0.6346863468634686,0.7846153846153846,0.375,0.8962962962962963,0.6356481481481482,0.5074626865671642,0.3176800297992033,0.6535403050108933,0.6733807208980178,121,14,85,51,0.6236162361623616,0.7142857142857143,0.4074074074074074,0.8382352941176471,0.6228213507625272,0.5188679245283019,0.2723290530334966,0.6592592592592592,0.6474768981141288,114,22,80,55
Logistic Regression,K3 + K4 + Basic,f1,0.2770000000000002,0.5166051660516605,0.5095057034220533,0.9852941176470589,0.044444444444444446,0.5148692810457517,0.6716791979949874,0.08784831514784995,0.6535403050108933,0.6733807208980178,6,129,2,134,0.5092250922509225,0.503731343283582,1.0,0.022058823529411766,0.5110294117647058,0.6699751861042184,0.10541214734425096,0.6592592592592592,0.6474768981141288,3,133,0,135
Logistic Regression,K3 + K4 + Basic,balanced_accuracy,0.5380000000000005,0.6420664206642066,0.7142857142857143,0.47794117647058826,0.8074074074074075,0.6426742919389978,0.5726872246696035,0.30210305098582874,0.6535403050108933,0.6733807208980178,109,26,71,65,0.6309963099630996,0.6666666666666666,0.5185185185185185,0.7426470588235294,0.630582788671024,0.5833333333333334,0.26804245039279023,0.6592592592592592,0.6474768981141288,101,35,65,70
Logistic Regression,K3 + K4 + Basic,youden_j,0.5380000000000005,0.6420664206642066,0.7142857142857143,0.47794117647058826,0.8074074074074075,0.6426742919389978,0.5726872246696035,0.30210305098582874,0.6535403050108933,0.6733807208980178,109,26,71,65,0.6309963099630996,0.6666666666666666,0.5185185185185185,0.7426470588235294,0.630582788671024,0.5833333333333334,0.26804245039279023,0.6592592592592592,0.6474768981141288,101,35,65,70
