gene_id,gene_symbol,true_label,protein_score,genomic_score,fusion_score_mean,protein_pred_default_0_5,protein_pred_tuned_f1,genomic_pred_default_0_5,genomic_pred_balanced_0_518,fusion_pred_default_0_5,protein_correct,genomic_correct,cross_modality_group
ENSG00000140464,PML,1,0.3339425038812488,0.4587683335676122,0.3963554187244305,0,0,0,0,0,False,False,both_wrong
ENSG00000110881,ASIC1,0,0.7506063781055156,0.5738072979199013,0.6622068380127084,1,1,1,1,1,False,False,both_wrong
ENSG00000074695,LMAN1,0,0.7477213570510944,0.6017424521302964,0.6747319045906954,1,1,1,1,1,False,False,both_wrong
ENSG00000173376,NDNF,0,0.6421517218475039,0.5780191872551962,0.6100854545513501,1,1,1,1,1,False,False,both_wrong
ENSG00000132466,ANKRD17,0,0.5906278141804651,0.5715669625884695,0.5810973883844672,1,1,1,1,1,False,False,both_wrong
ENSG00000069188,SDK2,0,0.5614984730187953,0.6751393468535061,0.6183189099361507,1,1,1,1,1,False,False,both_wrong
ENSG00000166450,PRTG,0,0.523338486152567,0.6477604495432456,0.5855494678479063,1,1,1,1,1,False,False,both_wrong
ENSG00000075975,MKRN2,0,0.4807219029725776,0.529922967944756,0.5053224354586668,0,1,1,1,1,False,False,both_wrong
ENSG00000255855,KDM4F,0,0.3748630400467393,0.554807560152944,0.46483530009984164,0,1,1,1,0,False,False,both_wrong
ENSG00000099715,PCDH11Y,0,0.3743839696696532,0.5525181767045088,0.463451073187081,0,1,1,1,0,False,False,both_wrong
