gene_id,gene_symbol,true_label,protein_score,genomic_score,fusion_score_mean,protein_pred_default_0_5,protein_pred_tuned_f1,genomic_pred_default_0_5,genomic_pred_balanced_0_518,fusion_pred_default_0_5,protein_correct,genomic_correct,cross_modality_group
ENSG00000087448,KLHL42,1,0.3264623790260638,0.7005298714391167,0.5134961252325903,0,0,1,1,1,False,True,genomic_correct_protein_wrong
ENSG00000177542,SLC25A22,0,0.7584989013584541,0.4442552443614242,0.6013770728599391,1,1,0,0,1,False,True,genomic_correct_protein_wrong
ENSG00000164100,NDST3,0,0.6486679409931071,0.4328268226198245,0.5407473818064659,1,1,0,0,1,False,True,genomic_correct_protein_wrong
ENSG00000273703,H2BC14,0,0.5486664081968043,0.4388994904149568,0.49378294930588057,1,1,0,0,0,False,True,genomic_correct_protein_wrong
ENSG00000122126,OCRL,0,0.5359877723358852,0.3887465570481569,0.4623671646920211,1,1,0,0,0,False,True,genomic_correct_protein_wrong
ENSG00000131043,AAR2,0,0.4655119630577921,0.3633352448076234,0.4144236039327077,0,1,0,0,0,False,True,genomic_correct_protein_wrong
ENSG00000205426,KRT81,0,0.4585065746455347,0.4982136300891981,0.47836010236736637,0,1,0,0,0,False,True,genomic_correct_protein_wrong
ENSG00000111254,AKAP3,0,0.441105746357868,0.4882084439114117,0.4646570951346398,0,1,0,0,0,False,True,genomic_correct_protein_wrong
ENSG00000125885,MCM8,0,0.4282009272818263,0.4493099584818327,0.4387554428818295,0,1,0,0,0,False,True,genomic_correct_protein_wrong
ENSG00000117614,SYF2,0,0.4146685592732042,0.3452523663446057,0.37996046280890494,0,1,0,0,0,False,True,genomic_correct_protein_wrong
