gene_id,gene_symbol_protein,true_label_protein,protein_score,protein_pred_default_0_5,protein_pred_tuned_f1,gene_symbol_genomic,true_label_genomic,genomic_score,genomic_pred_default_0_5,genomic_pred_balanced_0_518,label_match,true_label,gene_symbol,protein_correct,genomic_correct,cross_modality_group,fusion_score_mean,fusion_pred_default_0_5,score_gap_genomic_minus_protein
ENSG00000087448,KLHL42,1,0.3264623790260638,0,0,KLHL42,1,0.7005298714391167,1,1,True,1,KLHL42,False,True,genomic_correct_protein_wrong,0.5134961252325903,1,0.3740674924130529
ENSG00000163535,SGO2,0,0.1827065844219719,0,0,SGO2,0,0.4740787846142448,0,0,True,0,SGO2,True,True,both_correct,0.3283926845181083,0,0.2913722001922729
ENSG00000173679,OR1L1,0,0.2304056676929389,0,0,OR1L1,0,0.5121826534938757,1,0,True,0,OR1L1,True,False,protein_correct_genomic_wrong,0.3712941605934073,0,0.2817769858009368
ENSG00000182195,LDOC1,0,0.2461844228469682,0,0,LDOC1,0,0.4630553105665695,0,0,True,0,LDOC1,True,True,both_correct,0.35461986670676887,0,0.2168708877196013
ENSG00000166813,KIF7,0,0.2560985325280675,0,0,KIF7,0,0.449723075548568,0,0,True,0,KIF7,True,True,both_correct,0.35291080403831776,0,0.19362454302050047
ENSG00000255855,KDM4F,0,0.3748630400467393,0,1,KDM4F,0,0.554807560152944,1,1,True,0,KDM4F,False,False,both_wrong,0.46483530009984164,0,0.17994452010620465
ENSG00000099715,PCDH11Y,0,0.3743839696696532,0,1,PCDH11Y,0,0.5525181767045088,1,1,True,0,PCDH11Y,False,False,both_wrong,0.463451073187081,0,0.17813420703485555
ENSG00000150676,CCDC83,0,0.3197518843117759,0,0,CCDC83,0,0.4964391420674817,0,0,True,0,CCDC83,True,True,both_correct,0.4080955131896288,0,0.17668725775570576
ENSG00000147127,RAB41,0,0.3238463585440949,0,0,RAB41,0,0.495373122588269,0,0,True,0,RAB41,True,True,both_correct,0.40960974056618193,0,0.1715267640441741
ENSG00000101997,CCDC22,0,0.2551343934292165,0,0,CCDC22,0,0.4197446823059173,0,0,True,0,CCDC22,True,True,both_correct,0.3374395378675669,0,0.16461028887670082
ENSG00000141655,TNFRSF11A,1,0.481090054492573,0,1,TNFRSF11A,1,0.6214872553090024,1,1,True,1,TNFRSF11A,True,True,both_correct,0.5512886549007877,1,0.14039720081642937
ENSG00000140464,PML,1,0.3339425038812488,0,0,PML,1,0.4587683335676122,0,0,True,1,PML,False,False,both_wrong,0.3963554187244305,0,0.12482582968636341
ENSG00000166450,PRTG,0,0.523338486152567,1,1,PRTG,0,0.6477604495432456,1,1,True,0,PRTG,False,False,both_wrong,0.5855494678479063,1,0.12442196339067868
ENSG00000069188,SDK2,0,0.5614984730187953,1,1,SDK2,0,0.6751393468535061,1,1,True,0,SDK2,False,False,both_wrong,0.6183189099361507,1,0.11364087383471078
ENSG00000103657,HERC1,1,0.4913116017200759,0,1,HERC1,1,0.6016602696322653,1,1,True,1,HERC1,True,True,both_correct,0.5464859356761705,1,0.11034866791218939
ENSG00000166927,MS4A7,0,0.2786462979692923,0,0,MS4A7,0,0.3637775588275373,0,0,True,0,MS4A7,True,True,both_correct,0.32121192839841484,0,0.08513126085824502
ENSG00000075975,MKRN2,0,0.4807219029725776,0,1,MKRN2,0,0.529922967944756,1,1,True,0,MKRN2,False,False,both_wrong,0.5053224354586668,1,0.04920106497217841
ENSG00000111254,AKAP3,0,0.441105746357868,0,1,AKAP3,0,0.4882084439114117,0,0,True,0,AKAP3,False,True,genomic_correct_protein_wrong,0.4646570951346398,0,0.04710269755354374
ENSG00000128805,ARHGAP22,1,0.3791896060402066,0,1,ARHGAP22,1,0.4202606210529228,0,0,True,1,ARHGAP22,True,False,protein_correct_genomic_wrong,0.3997251135465647,0,0.041071015012716205
ENSG00000205426,KRT81,0,0.4585065746455347,0,1,KRT81,0,0.4982136300891981,0,0,True,0,KRT81,False,True,genomic_correct_protein_wrong,0.47836010236736637,0,0.03970705544366343
ENSG00000197959,DNM3,1,0.4242803986518121,0,1,DNM3,1,0.4456027437370126,0,0,True,1,DNM3,True,False,protein_correct_genomic_wrong,0.43494157119441235,0,0.021322345085200478
ENSG00000125885,MCM8,0,0.4282009272818263,0,1,MCM8,0,0.4493099584818327,0,0,True,0,MCM8,False,True,genomic_correct_protein_wrong,0.4387554428818295,0,0.0211090312000064
ENSG00000132466,ANKRD17,0,0.5906278141804651,1,1,ANKRD17,0,0.5715669625884695,1,1,True,0,ANKRD17,False,False,both_wrong,0.5810973883844672,1,-0.019060851591995553
ENSG00000198793,MTOR,1,0.4474265365144979,0,1,MTOR,1,0.38669159181236,0,0,True,1,MTOR,True,False,protein_correct_genomic_wrong,0.41705906416342897,0,-0.06073494470213786
ENSG00000173376,NDNF,0,0.6421517218475039,1,1,NDNF,0,0.5780191872551962,1,1,True,0,NDNF,False,False,both_wrong,0.6100854545513501,1,-0.06413253459230772
ENSG00000117614,SYF2,0,0.4146685592732042,0,1,SYF2,0,0.3452523663446057,0,0,True,0,SYF2,False,True,genomic_correct_protein_wrong,0.37996046280890494,0,-0.06941619292859846
ENSG00000170385,SLC30A1,1,0.6661258716357319,1,1,SLC30A1,1,0.5873255047551581,1,1,True,1,SLC30A1,True,True,both_correct,0.626725688195445,1,-0.07880036688057379
ENSG00000131043,AAR2,0,0.4655119630577921,0,1,AAR2,0,0.3633352448076234,0,0,True,0,AAR2,False,True,genomic_correct_protein_wrong,0.4144236039327077,0,-0.10217671825016866
ENSG00000273703,H2BC14,0,0.5486664081968043,1,1,H2BC14,0,0.4388994904149568,0,0,True,0,H2BC14,False,True,genomic_correct_protein_wrong,0.49378294930588057,0,-0.10976691778184755
ENSG00000165973,NELL1,1,0.6967406811081789,1,1,NELL1,1,0.583827494342375,1,1,True,1,NELL1,True,True,both_correct,0.6402840877252769,1,-0.11291318676580386
ENSG00000169783,LINGO1,1,0.7634286325611355,1,1,LINGO1,1,0.6484384794752959,1,1,True,1,LINGO1,True,True,both_correct,0.7059335560182156,1,-0.1149901530858396
ENSG00000184381,PLA2G6,1,0.4786627585765061,0,1,PLA2G6,1,0.3545477501012851,0,0,True,1,PLA2G6,True,False,protein_correct_genomic_wrong,0.4166052543388956,0,-0.124115008475221
ENSG00000074695,LMAN1,0,0.7477213570510944,1,1,LMAN1,0,0.6017424521302964,1,1,True,0,LMAN1,False,False,both_wrong,0.6747319045906954,1,-0.145978904920798
ENSG00000122126,OCRL,0,0.5359877723358852,1,1,OCRL,0,0.3887465570481569,0,0,True,0,OCRL,False,True,genomic_correct_protein_wrong,0.4623671646920211,0,-0.14724121528772832
ENSG00000144218,AFF3,1,0.5309385452218998,1,1,AFF3,1,0.3682536719008991,0,0,True,1,AFF3,True,False,protein_correct_genomic_wrong,0.4495961085613994,0,-0.16268487332100068
ENSG00000125970,RALY,1,0.7226887139215755,1,1,RALY,1,0.5472518851526651,1,1,True,1,RALY,True,True,both_correct,0.6349702995371203,1,-0.17543682876891042
ENSG00000110881,ASIC1,0,0.7506063781055156,1,1,ASIC1,0,0.5738072979199013,1,1,True,0,ASIC1,False,False,both_wrong,0.6622068380127084,1,-0.1767990801856143
ENSG00000107249,GLIS3,1,0.7841214483571672,1,1,GLIS3,1,0.6022612602688079,1,1,True,1,GLIS3,True,True,both_correct,0.6931913543129875,1,-0.18186018808835935
ENSG00000087299,L2HGDH,1,0.6233580086109929,1,1,L2HGDH,1,0.4264104170191199,0,0,True,1,L2HGDH,True,False,protein_correct_genomic_wrong,0.5248842128150564,1,-0.19694759159187297
ENSG00000076864,RAP1GAP,1,0.6617053678101278,1,1,RAP1GAP,1,0.4580361666080155,0,0,True,1,RAP1GAP,True,False,protein_correct_genomic_wrong,0.5598707672090717,1,-0.2036692012021123
ENSG00000119013,NDUFB3,1,0.7567514050471255,1,1,NDUFB3,1,0.5464990305567723,1,1,True,1,NDUFB3,True,True,both_correct,0.6516252178019488,1,-0.21025237449035317
ENSG00000164100,NDST3,0,0.6486679409931071,1,1,NDST3,0,0.4328268226198245,0,0,True,0,NDST3,False,True,genomic_correct_protein_wrong,0.5407473818064659,1,-0.21584111837328257
ENSG00000100170,SLC5A1,1,0.7267270292514609,1,1,SLC5A1,1,0.4826926746992062,0,0,True,1,SLC5A1,True,False,protein_correct_genomic_wrong,0.6047098519753336,1,-0.24403435455225475
ENSG00000177542,SLC25A22,0,0.7584989013584541,1,1,SLC25A22,0,0.4442552443614242,0,0,True,0,SLC25A22,False,True,genomic_correct_protein_wrong,0.6013770728599391,1,-0.3142436569970299
ENSG00000007314,SCN4A,1,0.8163737867166938,1,1,SCN4A,1,0.4157891642898172,0,0,True,1,SCN4A,True,False,protein_correct_genomic_wrong,0.6160814755032555,1,-0.4005846224268766
