gene_id,gene_symbol,label
ENSG00000149201,CCDC81,0
ENSG00000127324,TSPAN8,1
ENSG00000170262,MRAP,0
ENSG00000173950,XXYLT1,0
ENSG00000167792,NDUFV1,1
ENSG00000198670,LPA,1
ENSG00000179869,ABCA13,0
ENSG00000175040,CHST2,0
ENSG00000197779,ZNF81,0
ENSG00000198625,MDM4,1
ENSG00000166228,PCBD1,1
ENSG00000158125,XDH,1
ENSG00000175787,ZNF169,1
ENSG00000237765,FAM200B,0
ENSG00000204779,FOXD4L5,0
ENSG00000176435,CLEC14A,1
ENSG00000204086,RPA4,0
ENSG00000011523,CEP68,1
ENSG00000203485,INF2,0
ENSG00000148513,ANKRD30A,0
ENSG00000196353,CPNE4,1
ENSG00000214309,MBLAC1,0
ENSG00000103257,SLC7A5,1
ENSG00000145675,PIK3R1,1
ENSG00000163913,IFT122,0
ENSG00000169760,NLGN1,1
ENSG00000035720,STAP1,0
ENSG00000130518,IQCN,0
ENSG00000137513,NARS2,0
ENSG00000185053,SGCZ,1
ENSG00000135476,ESPL1,0
ENSG00000135472,FAIM2,1
ENSG00000123562,MORF4L2,0
ENSG00000009335,UBE3C,1
ENSG00000114861,FOXP1,1
ENSG00000163576,EFHB,0
ENSG00000179314,WSCD1,0
ENSG00000091704,CPA1,1
ENSG00000126337,KRT36,0
ENSG00000229665,PRR20C,0
ENSG00000065802,ASB1,0
ENSG00000203883,SOX18,0
ENSG00000206560,ANKRD28,1
ENSG00000104490,NCALD,1
ENSG00000016490,CLCA1,0
ENSG00000147234,FRMPD3,0
ENSG00000148123,PLPPR1,1
ENSG00000140262,TCF12,1
ENSG00000173208,ABCD2,0
ENSG00000222011,FAM185A,1
ENSG00000177324,BEND2,0
ENSG00000180257,ZNF816,0
ENSG00000095015,MAP3K1,1
ENSG00000151131,NOPCHAP1,0
ENSG00000189056,RELN,1
ENSG00000110628,SLC67A1,1
ENSG00000165288,BRWD3,0
ENSG00000102908,NFAT5,1
ENSG00000178700,DHFR2,1
ENSG00000085185,BCORL1,1
ENSG00000182247,UBE2E2,1
ENSG00000132446,FTHL17,0
ENSG00000160570,DEDD2,0
ENSG00000154975,CA10,1
ENSG00000235106,BRD3OS,1
ENSG00000123329,ARHGAP9,0
ENSG00000203985,LDLRAD1,0
ENSG00000166377,ATP9B,0
ENSG00000160221,GATD3,0
ENSG00000036828,CASR,1
ENSG00000284667,SCYGR5,0
ENSG00000171435,KSR2,1
ENSG00000137309,HMGA1,1
ENSG00000197530,MIB2,0
ENSG00000163608,NEPRO,0
ENSG00000143847,PPFIA4,0
ENSG00000163083,INHBB,1
ENSG00000141441,GAREM1,0
ENSG00000125733,TRIP10,0
ENSG00000070778,PTPN21,0
ENSG00000205669,ACOT6,0
ENSG00000136521,NDUFB5,1
ENSG00000112782,CLIC5,1
ENSG00000155034,FBXL18,0
ENSG00000115290,GRB14,1
ENSG00000029534,ANK1,1
ENSG00000141026,MED9,0
ENSG00000173145,NOC3L,0
ENSG00000196616,ADH1B,1
ENSG00000128607,KLHDC10,0
ENSG00000198901,PRC1,1
ENSG00000185104,FAF1,1
ENSG00000152078,TLCD4,0
ENSG00000083844,ZNF264,0
ENSG00000156304,SCAF4,0
ENSG00000106459,NRF1,1
ENSG00000130254,SAFB2,0
ENSG00000113532,ST8SIA4,1
ENSG00000159387,IRX6,1
ENSG00000134897,BIVM,0
ENSG00000104043,ATP8B4,0
ENSG00000291307,POLGARF,0
ENSG00000161040,FBXL13,1
ENSG00000065371,ROPN1,0
ENSG00000182175,RGMA,1
ENSG00000241878,PISD,1
ENSG00000114416,FXR1,1
ENSG00000243480,AMY2A,1
ENSG00000158669,GPAT4,1
ENSG00000187626,ZKSCAN4,0
ENSG00000075884,ARHGAP15,0
ENSG00000188211,NCR3LG1,1
ENSG00000165685,TMEM52B,0
ENSG00000148584,A1CF,1
ENSG00000047188,YTHDC2,1
ENSG00000155918,RAET1L,0
ENSG00000128482,RNF112,0
ENSG00000074410,CA12,0
ENSG00000168830,HTR1E,0
ENSG00000177483,RBM44,0
ENSG00000054803,CBLN4,1
ENSG00000102218,RP2,0
ENSG00000188162,OTOG,0
ENSG00000171595,DNAI2,0
ENSG00000175946,KLHL38,0
ENSG00000136197,C7orf25,0
ENSG00000072609,CHFR,0
ENSG00000092148,HECTD1,0
ENSG00000101104,PABPC1L,0
ENSG00000078674,PCM1,1
ENSG00000018625,ATP1A2,1
ENSG00000048471,SNX29,1
ENSG00000196684,HSH2D,0
ENSG00000100796,PPP4R3A,1
ENSG00000215910,C1orf167,0
ENSG00000160194,NDUFV3,1
ENSG00000196376,SLC35F1,0
ENSG00000053900,ANAPC4,1
ENSG00000171723,GPHN,0
ENSG00000132141,CCT6B,0
ENSG00000086205,FOLH1,1
ENSG00000076043,REXO2,0
ENSG00000182923,CEP63,0
ENSG00000074201,CLNS1A,0
ENSG00000002726,AOC1,1
ENSG00000172661,WASHC2C,0
ENSG00000184635,ZNF93,0
ENSG00000178252,WDR6,0
ENSG00000127863,TNFRSF19,0
ENSG00000101680,LAMA1,1
ENSG00000168734,PKIG,1
ENSG00000115339,GALNT3,1
ENSG00000185156,MFSD6L,0
ENSG00000162490,DRAXIN,0
ENSG00000169955,ZNF747,0
ENSG00000142156,COL6A1,0
ENSG00000156639,ZFAND3,1
ENSG00000130749,ZC3H4,1
ENSG00000086544,ITPKC,0
ENSG00000135333,EPHA7,0
ENSG00000171403,KRT9,0
ENSG00000197943,PLCG2,1
ENSG00000100629,CEP128,0
ENSG00000152804,HHEX,1
ENSG00000196110,ZNF699,0
ENSG00000126216,TUBGCP3,0
ENSG00000171791,BCL2,1
ENSG00000196209,SIRPB2,0
ENSG00000267368,UPK3BL1,0
ENSG00000188177,ZC3H6,0
ENSG00000141458,NPC1,1
ENSG00000165899,OTOGL,0
ENSG00000186009,ATP4B,1
ENSG00000002822,MAD1L1,1
ENSG00000055955,ITIH4,1
ENSG00000283599,,0
ENSG00000100852,ARHGAP5,0
ENSG00000151148,UBE3B,0
ENSG00000178809,TRIM73,0
ENSG00000123096,SSPN,1
ENSG00000131864,USP29,0
ENSG00000141338,ABCA8,0
ENSG00000232040,SCAND3,0
ENSG00000170214,ADRA1B,1
ENSG00000111716,LDHB,1
ENSG00000276040,SPATA31A7,0
ENSG00000179588,ZFPM1,1
ENSG00000108389,MTMR4,0
ENSG00000153814,JAZF1,1
ENSG00000224420,ADM5,0
ENSG00000067596,DHX8,0
ENSG00000196131,VN1R2,0
ENSG00000151967,SCHIP1,0
ENSG00000053254,FOXN3,1
ENSG00000206203,TSSK2,0
ENSG00000047410,TPR,0
ENSG00000159692,CTBP1,1
ENSG00000164588,HCN1,1
ENSG00000078328,RBFOX1,1
ENSG00000130643,CALY,0
ENSG00000115421,PAPOLG,0
ENSG00000119203,CPSF3,0
ENSG00000126870,DYNC2I1,0
ENSG00000164124,TMEM144,1
ENSG00000165935,SMCO2,1
ENSG00000011028,MRC2,1
ENSG00000121989,ACVR2A,1
ENSG00000163116,STPG2,0
ENSG00000215262,KCNU1,1
ENSG00000172817,CYP7B1,1
ENSG00000234409,CCDC188,0
ENSG00000196683,TOMM7,1
ENSG00000182168,UNC5C,1
ENSG00000138081,FBXO11,1
ENSG00000158717,RNF166,1
ENSG00000164304,CAGE1,0
ENSG00000101187,SLCO4A1,1
ENSG00000075420,FNDC3B,1
ENSG00000111711,GOLT1B,0
ENSG00000142864,SERBP1,0
ENSG00000221818,EBF2,1
ENSG00000171133,OR2K2,0
ENSG00000125538,IL1B,1
ENSG00000158636,EMSY,1
ENSG00000174306,ZHX3,1
ENSG00000038219,BOD1L1,0
ENSG00000205937,RNPS1,0
ENSG00000170234,PWWP2A,0
ENSG00000107651,SEC23IP,1
ENSG00000224578,HNRNPA1L3,0
ENSG00000065325,GLP2R,1
ENSG00000162664,ZNF326,0
ENSG00000136250,AOAH,1
ENSG00000172164,SNTB1,1
ENSG00000286038,SPDYE13,0
ENSG00000198947,DMD,1
ENSG00000215440,NPEPL1,0
ENSG00000182308,DCAF4L1,0
ENSG00000064703,DDX20,1
ENSG00000165623,UCMA,1
ENSG00000124172,ATP5F1E,1
ENSG00000069248,NUP133,1
ENSG00000198752,CDC42BPB,0
ENSG00000198393,ZNF26,0
ENSG00000171346,KRT15,0
ENSG00000140873,ADAMTS18,1
ENSG00000074706,IPCEF1,0
ENSG00000174173,TRMT10C,0
ENSG00000218891,ZNF579,0
ENSG00000205186,FABP9,0
ENSG00000164530,PI16,1
ENSG00000062524,LTK,1
ENSG00000129595,EPB41L4A,1
ENSG00000196700,ZNF512B,0
ENSG00000008083,JARID2,1
ENSG00000164935,DCSTAMP,1
ENSG00000182240,BACE2,1
ENSG00000196284,SUPT3H,0
ENSG00000173431,RNASE8,0
ENSG00000147548,NSD3,0
ENSG00000067177,PHKA1,0
ENSG00000175463,TBC1D10C,0
ENSG00000105135,ILVBL,0
ENSG00000147324,MFHAS1,1
ENSG00000084090,STARD7,0
ENSG00000169347,GP2,1
ENSG00000181378,CFAP65,0
ENSG00000147124,ZNF41,0
ENSG00000114439,BBX,0
ENSG00000130309,COLGALT1,0
ENSG00000093010,COMT,1
ENSG00000081277,PKP1,0
ENSG00000175699,CCDC197,0
ENSG00000165583,SSX5,0
ENSG00000163521,GLB1L,0
ENSG00000108557,RAI1,1
ENSG00000113194,FAF2,0
ENSG00000075151,EIF4G3,0
ENSG00000133812,SBF2,1
ENSG00000149115,TNKS1BP1,0
ENSG00000152954,NRSN1,0
ENSG00000183347,GBP6,1
ENSG00000189362,NEMP2,0
ENSG00000276043,UHRF1,1
ENSG00000170153,RNF150,0
ENSG00000165966,PDZRN4,1
ENSG00000244588,RAD21L1,0
ENSG00000157557,ETS2,1
ENSG00000174327,SLC16A13,1
ENSG00000273820,USP27X,0
ENSG00000277462,ZNF670,0
ENSG00000169194,IL13,1
ENSG00000198053,SIRPA,1
ENSG00000112365,ZBTB24,0
ENSG00000076685,NT5C2,1
ENSG00000101057,MYBL2,1
ENSG00000151136,ABTB3,0
ENSG00000108255,CRYBA1,1
ENSG00000163159,VPS72,0
ENSG00000198791,CNOT7,0
ENSG00000144231,POLR2D,0
ENSG00000197872,CYRIA,1
ENSG00000035499,DEPDC1B,0
ENSG00000072858,SIDT1,1
ENSG00000204595,DPRX,0
ENSG00000184304,PRKD1,1
ENSG00000163898,LIPH,1
ENSG00000178568,ERBB4,1
ENSG00000124812,CRISP1,0
ENSG00000182771,GRID1,1
ENSG00000146802,TMEM168,0
ENSG00000090539,CHRD,0
ENSG00000159210,SNF8,1
ENSG00000101746,NOL4,1
ENSG00000081177,EXD2,1
ENSG00000058404,CAMK2B,1
ENSG00000109182,CWH43,1
ENSG00000141252,VPS53,1
ENSG00000169181,GSG1L,0
ENSG00000021645,NRXN3,1
ENSG00000066923,STAG3,0
ENSG00000196275,GTF2IRD2,1
ENSG00000088876,ZNF343,0
ENSG00000066135,KDM4A,0
ENSG00000184922,FMNL1,0
ENSG00000183648,NDUFB1,1
ENSG00000165076,PRSS37,0
ENSG00000213949,ITGA1,1
ENSG00000100012,SEC14L3,0
ENSG00000169908,TM4SF1,1
ENSG00000153879,CEBPG,1
ENSG00000151883,PARP8,1
ENSG00000033030,ZCCHC8,0
ENSG00000100418,DESI1,0
ENSG00000111424,VDR,1
ENSG00000169047,IRS1,1
ENSG00000254206,NPIPB11,0
ENSG00000132972,RNF17,0
ENSG00000134243,SORT1,1
ENSG00000100241,SBF1,0
ENSG00000266074,BAHCC1,0
ENSG00000154252,GAL3ST2,0
ENSG00000162367,TAL1,1
ENSG00000125831,CST11,0
ENSG00000132846,ZBED3,1
ENSG00000105559,PLEKHA4,0
ENSG00000172046,USP19,0
ENSG00000183269,OR52E8,0
ENSG00000152254,G6PC2,1
ENSG00000118473,SGIP1,1
ENSG00000138944,SHISAL1,0
ENSG00000134242,PTPN22,1
ENSG00000157933,SKI,1
ENSG00000128849,CGNL1,1
ENSG00000047936,ROS1,0
ENSG00000162063,CCNF,0
ENSG00000117280,RAB29,1
ENSG00000119977,TCTN3,0
ENSG00000197893,NRAP,0
ENSG00000176248,ANAPC2,0
ENSG00000158716,DUSP23,0
ENSG00000180336,MEIOC,0
ENSG00000139344,AMDHD1,0
ENSG00000125744,RTN2,0
ENSG00000187857,OR6C75,0
ENSG00000173253,DMRT2,1
ENSG00000172461,FUT9,0
ENSG00000101096,NFATC2,1
ENSG00000162702,ZNF281,1
ENSG00000169129,AFAP1L2,1
ENSG00000023228,NDUFS1,1
ENSG00000132842,AP3B1,1
ENSG00000184985,SORCS2,1
ENSG00000173482,PTPRM,1
ENSG00000134250,NOTCH2,1
ENSG00000206432,TMEM200C,0
ENSG00000131196,NFATC1,1
ENSG00000124493,GRM4,1
ENSG00000164742,ADCY1,1
ENSG00000107959,PITRM1,0
ENSG00000183579,ZNRF3,1
ENSG00000189283,FHIT,1
ENSG00000105290,APLP1,0
ENSG00000128610,FEZF1,1
ENSG00000164168,TMEM184C,0
ENSG00000229924,FAM90A26,0
ENSG00000170906,NDUFA3,1
ENSG00000197093,GAL3ST4,0
ENSG00000186889,TMEM17,1
ENSG00000173542,MOB1B,1
ENSG00000060749,QSER1,1
ENSG00000066629,EML1,0
ENSG00000135048,CEMIP2,0
ENSG00000004399,PLXND1,1
ENSG00000100167,SEPTIN3,0
ENSG00000106113,CRHR2,1
ENSG00000185737,NRG3,0
ENSG00000147874,HAUS6,1
ENSG00000242498,ARPIN,1
ENSG00000162104,ADCY9,1
ENSG00000090905,TNRC6A,1
ENSG00000064042,LIMCH1,0
ENSG00000099282,TSPAN15,1
ENSG00000124201,ZNFX1,0
ENSG00000174791,RIN1,0
ENSG00000119912,IDE,1
ENSG00000177917,ARL6IP6,1
ENSG00000143971,ETAA1,1
ENSG00000112282,MED23,1
ENSG00000152601,MBNL1,1
ENSG00000198355,PIM3,1
ENSG00000141452,RMC1,1
ENSG00000123545,NDUFAF4,1
ENSG00000126773,PCNX4,0
ENSG00000090612,ZNF268,1
ENSG00000213066,CEP43,1
ENSG00000177054,ZDHHC13,0
ENSG00000139719,VPS33A,0
ENSG00000187537,POTEG,0
ENSG00000129244,ATP1B2,1
ENSG00000257017,HP,1
ENSG00000196476,C20orf96,0
ENSG00000189108,IL1RAPL2,0
ENSG00000136014,USP44,1
ENSG00000187325,TAF9B,0
ENSG00000081189,MEF2C,1
ENSG00000284791,SMIM41,0
ENSG00000116273,PHF13,1
ENSG00000102221,JADE3,0
ENSG00000168137,SETD5,1
ENSG00000160867,FGFR4,1
ENSG00000004948,CALCR,1
ENSG00000153989,NUS1,1
ENSG00000250305,TRMT9B,1
ENSG00000162441,LZIC,0
ENSG00000105738,SIPA1L3,0
ENSG00000063515,GSC2,0
ENSG00000179133,C10orf67,1
ENSG00000184983,NDUFA6,1
ENSG00000177105,RHOG,0
ENSG00000162341,TPCN2,1
ENSG00000186088,GSAP,1
ENSG00000171970,ZNF57,0
ENSG00000154822,PLCL2,1
ENSG00000064655,EYA2,1
ENSG00000234284,ZNF879,0
ENSG00000164684,ZNF704,0
ENSG00000164512,ANKRD55,1
ENSG00000103978,TMEM87A,0
ENSG00000138400,MDH1B,0
ENSG00000132938,MTUS2,0
ENSG00000206053,JPT2,0
ENSG00000188060,RAB42,0
ENSG00000166860,ZBTB39,0
ENSG00000106392,C1GALT1,1
ENSG00000101076,HNF4A,1
ENSG00000137073,UBAP2,1
ENSG00000001629,ANKIB1,0
ENSG00000099991,CABIN1,0
ENSG00000086758,HUWE1,1
ENSG00000011275,RNF216,0
ENSG00000168925,CTRB1,1
ENSG00000173930,SLCO4C1,1
ENSG00000072310,SREBF1,1
ENSG00000189043,COXFA4,1
ENSG00000155980,KIF5A,0
ENSG00000104324,CPQ,1
ENSG00000198597,ZNF536,1
ENSG00000189144,ZNF573,0
ENSG00000089177,KIF16B,0
ENSG00000142330,CAPN10,1
ENSG00000089847,ANKRD24,0
ENSG00000149089,APIP,1
ENSG00000151465,CDC123,1
ENSG00000215853,RPTN,0
ENSG00000097096,SYDE2,0
ENSG00000159217,IGF2BP1,1
ENSG00000268235,TCP11X1,0
ENSG00000158497,HMHB1,1
ENSG00000113240,CLK4,0
ENSG00000104976,SNAPC2,1
ENSG00000078898,BPIFB2,0
ENSG00000128313,APOL5,0
ENSG00000205777,GAGE1,0
ENSG00000152527,PLEKHH2,1
ENSG00000205359,SLCO6A1,1
ENSG00000147535,PLPP5,0
ENSG00000167874,TMEM88,0
ENSG00000115159,GPD2,1
ENSG00000178127,NDUFV2,1
ENSG00000128609,NDUFA5,1
ENSG00000196118,CFAP119,0
ENSG00000136267,DGKB,1
ENSG00000110066,KMT5B,0
ENSG00000178607,ERN1,1
ENSG00000197056,ZMYM1,0
ENSG00000118873,RAB3GAP2,0
ENSG00000137413,TAF8,1
ENSG00000187676,B3GLCT,1
ENSG00000204514,ZNF814,0
ENSG00000225327,USP17L3,0
ENSG00000173239,LIPM,0
ENSG00000184937,WT1,1
ENSG00000178385,PLEKHM3,1
ENSG00000147180,ZNF711,0
ENSG00000152580,IGSF10,0
ENSG00000117000,RLF,0
ENSG00000188827,SLX4,1
ENSG00000198865,CCDC152,0
ENSG00000109927,TECTA,0
ENSG00000130713,EXOSC2,0
ENSG00000137691,CFAP300,0
ENSG00000179361,ARID3B,0
ENSG00000166348,USP54,0
ENSG00000164542,MATCAP2,0
ENSG00000100883,SRP54,1
ENSG00000176087,SLC35A4,0
ENSG00000100346,CACNA1I,0
ENSG00000146374,RSPO3,1
ENSG00000141219,MTNAP1,0
ENSG00000164258,NDUFS4,1
ENSG00000184640,SEPTIN9,1
ENSG00000113161,HMGCR,1
ENSG00000075218,GTSE1,0
ENSG00000198081,ZBTB14,0
ENSG00000095574,IKZF5,0
ENSG00000276547,PCDHGB5,0
ENSG00000115970,THADA,1
ENSG00000179148,ALOXE3,0
ENSG00000166436,TRIM66,1
ENSG00000164756,SLC30A8,1
ENSG00000078687,TNRC6C,0
ENSG00000127334,DYRK2,1
ENSG00000154447,SH3RF1,0
ENSG00000154237,LRRK1,1
ENSG00000132437,DDC,1
ENSG00000157851,DPYSL5,0
ENSG00000198089,SFI1,1
ENSG00000085872,CHERP,0
ENSG00000182333,LIPF,1
ENSG00000006468,ETV1,1
ENSG00000170961,HAS2,1
ENSG00000205339,IPO7,0
ENSG00000035115,SH3YL1,1
ENSG00000185966,LCE3E,0
ENSG00000090402,SI,1
ENSG00000091986,CCDC80,0
ENSG00000156642,NPTN,0
ENSG00000119718,EIF2B2,0
ENSG00000172197,MBOAT1,1
ENSG00000284770,TBCE,1
ENSG00000109501,WFS1,1
ENSG00000156564,LRFN2,1
ENSG00000184611,KCNH7,1
ENSG00000165066,NKX6-3,1
ENSG00000139990,DCAF5,1
ENSG00000094804,CDC6,0
