feature_set,n_features,model,train_roc_auc_mean,train_roc_auc_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_pr_auc_mean,cv_pr_auc_std,cv_mcc_mean,cv_mcc_std,overfit_gap_train_minus_cv
K3 + K4 + K5 + Basic,1380,SVM RBF,0.9938406232786882,0.0008086167677632959,0.6244221456444929,0.02111298996525229,0.5753792398191886,0.03472136481005446,0.6247228456390621,0.02395593348218249,0.17485940725198912,0.04938408719651985,0.3694184776341952
K3 + K4 + K5 + Basic,1380,Random Forest,1.0,7.021666937153402e-17,0.6224577086594334,0.0164957220406703,0.5832328499104219,0.0326288219508005,0.6106195806500294,0.01770034678079212,0.1872605323222963,0.040196519037823314,0.3775422913405666
K3 + K4 + Basic,356,SVM RBF,0.9521029236451742,0.0021979697646005857,0.6215756760563659,0.01989741476000498,0.581153077992421,0.011701308431023403,0.6191104852262734,0.026693409941151595,0.18244451777283044,0.014756731952735493,0.33052724758880836
K4 + Basic,292,SVM RBF,0.960187407123596,0.0018494610857481468,0.6207698244068698,0.018537069880363546,0.5791157622562058,0.014679484276650107,0.6206396471234579,0.024589172410615732,0.18121433708721707,0.016887391136237585,0.3394175827167262
K3 + K4 + K5 + Basic,1380,LightGBM,1.0,0.0,0.6183432428089347,0.02794164909445355,0.5752540490797405,0.01813577446016674,0.6158385608914443,0.02776551958791151,0.17124392033888847,0.03248774485822722,0.3816567571910653
K4 + Basic,292,LightGBM,1.0,0.0,0.6146484665607275,0.03541403710532543,0.5753250141527131,0.03236416952880683,0.6136539905645847,0.02155266397940007,0.15521033843536353,0.06033936210576696,0.38535153343927253
K4 + Basic,292,Random Forest,1.0,4.965068306494546e-17,0.6134088397680448,0.014405505215995755,0.5752917504570603,0.03256668983646044,0.6155032476074165,0.020313172810849014,0.166651729513087,0.050091530667195815,0.38659116023195517
K3 + K4 + Basic,356,LightGBM,1.0,0.0,0.6125711468606106,0.028714841699324537,0.5714546342233555,0.027371262253677173,0.6105571101498566,0.01530544026170779,0.1456616199235413,0.05635753470367688,0.38742885313938935
K3 + K4 + Basic,356,Random Forest,1.0,0.0,0.6111578810585184,0.00932516769522607,0.5760986481387227,0.023496899786320666,0.6149201060664962,0.026161936378860516,0.17494831883787926,0.02122572913357834,0.3888421189414816
K3 + Basic,100,Logistic Regression,0.7056153257532317,0.0020650947101883707,0.6105159474113354,0.017772144761897073,0.5659692732241014,0.03272365772842502,0.6084929440606262,0.016032446839568053,0.15266055599553066,0.04120992221942911,0.0950993783418963
K3 + Basic,100,SVM RBF,0.8573254194297244,0.0033817494243015573,0.6081863774964636,0.025809865059524047,0.580140641839568,0.03728178696558186,0.6098881137475951,0.02656109635289282,0.16023919707039824,0.059514151945332446,0.24913904193326075
K3 + Basic,100,Random Forest,1.0,4.965068306494546e-17,0.60661807155058,0.023784560243871666,0.5786619829337443,0.017601637157557224,0.6061050898388757,0.014023911870642052,0.16323293695899493,0.048717524746566244,0.39338192844942
Basic GC/CpG/skew/bins,36,LightGBM,0.9999992173130356,1.565373928702485e-06,0.6029280070149962,0.02261297756603456,0.5682004715830555,0.004274045306835067,0.5979399376020089,0.01946040071148664,0.14887409588390674,0.008578326031249374,0.3970712102980395
K3 + Basic,100,LightGBM,1.0,0.0,0.5958732340997057,0.0365779139342673,0.5830697494293549,0.038611548677649286,0.5916714643967769,0.03421601691399679,0.1631982645007583,0.06099547739707866,0.4041267659002943
Basic GC/CpG/skew/bins,36,SVM RBF,0.7352141352647037,0.00292918457755966,0.5853784149997123,0.013781134030732329,0.5588300858935293,0.015832520906745286,0.5852532792766256,0.01002330276402207,0.13000036660383668,0.04589511639161633,0.14983572026499137
Basic GC/CpG/skew/bins,36,Logistic Regression,0.6184416980966011,0.0034052930352717436,0.5807052888230241,0.011939386695055324,0.5491319119793336,0.024754716363096025,0.5883601807745171,0.019230606121084747,0.10331613809150478,0.041437422104921184,0.03773640927357702
Basic GC/CpG/skew/bins,36,Random Forest,1.0,0.0,0.5755602970263638,0.022520945323703745,0.5525674775610474,0.014435877352335385,0.5757062077525614,0.018846702539507265,0.11887107275781243,0.032772865808766795,0.4244397029736362
K4 + Basic,292,Logistic Regression,0.8076344137249263,0.0032308846803962205,0.5655367483826426,0.023183965164955845,0.542757236565371,0.020898402027080022,0.563722662204299,0.02192688088995628,0.07606811911043904,0.035591598107622406,0.24209766534228372
K3 + K4 + Basic,356,Logistic Regression,0.80853803510614,0.0031903019941655684,0.565498757099807,0.02309040318573009,0.5431934287257011,0.02141720617846408,0.5638881346799056,0.02161051499523161,0.0776481485020026,0.03706025708936289,0.24303927800633296
K3 + K4 + K5 + Basic,1380,Logistic Regression,1.0,0.0,0.5214260915798223,0.045681805189214095,0.5209481353830602,0.056135920364900935,0.5267585933496234,0.032632249632158244,0.03788733217699957,0.098768816668515,0.47857390842017766
