feature_set,modality,n_features,model,train_roc_auc_mean,train_roc_auc_std,cv_roc_auc_mean,cv_roc_auc_std,cv_f1_mean,cv_f1_std,cv_pr_auc_mean,cv_pr_auc_std,cv_mcc_mean,cv_mcc_std,overfit_gap_train_minus_cv
Combined Protein+Genomic,multimodal,1380,SVM RBF,0.9690703179271356,0.001478639024531361,0.7135643758815863,0.020162577423477473,0.659110788060431,0.014507326937878108,0.7022276983666391,0.03557570302024792,0.31247250353138034,0.025457137280498452,0.25550594204554933
Combined Protein+Genomic,multimodal,1380,Random Forest,1.0,0.0,0.7093082114735658,0.03438581152094956,0.6569960102777938,0.01727338039532243,0.6964421229517572,0.0403991092011111,0.2945486964916634,0.04540542693197198,0.2906917885264342
Protein-only ProtBERT-SW,protein,1024,SVM RBF,0.9379688113166017,0.003020541430630038,0.7076580705189628,0.02623023217236308,0.6513864957113716,0.02467759286682187,0.6777612930154512,0.037793992949134304,0.28467512867838063,0.044973098051889704,0.2303107407976389
Protein-only ProtBERT-SW,protein,1024,Random Forest,1.0,0.0,0.695032267791923,0.036178037403227975,0.6316165350677594,0.026708718515478375,0.6774628415740577,0.0428997914920487,0.25555591171378006,0.05455449624848648,0.30496773220807705
Combined Protein+Genomic,multimodal,1380,Logistic Regression,1.0,0.0,0.657965770151747,0.02184296873235827,0.6174354508158109,0.024776773630072836,0.6380120508482978,0.03248480047865254,0.23368354727887386,0.023653923107051857,0.34203422984825305
Genomic-only K3K4Basic,genomic,356,SVM RBF,0.9512740720712387,0.002691712075789059,0.6350251853438955,0.019048412816169362,0.5821005159714837,0.021196674058824052,0.6304072322237961,0.018205022243738767,0.21422578466557818,0.04550173860528919,0.3162488867273432
Protein-only ProtBERT-SW,protein,1024,Logistic Regression,0.9999992173130356,1.565373928702485e-06,0.6328929121954993,0.017487188163283388,0.6019639054264172,0.026745732042699585,0.6116075330459061,0.02628794532600873,0.21528621460075445,0.020674411339387924,0.3671063051175364
Genomic-only K3K4Basic,genomic,356,Random Forest,1.0,7.021666937153402e-17,0.6262645244741233,0.022424622393599585,0.5829331406359015,0.029021096921062715,0.6336711749634634,0.02203857596183915,0.19741180187699806,0.060148517096666514,0.3737354755258767
Genomic-only K3K4Basic,genomic,356,LightGBM,1.0,0.0,0.6002640542948005,0.026269026432882377,0.5740727456401411,0.027991937622012908,0.6064316271497161,0.03152936222592318,0.16648513669207152,0.03763539537331096,0.39973594570519955
Genomic-only K3K4Basic,genomic,356,Logistic Regression,0.8160431477071061,0.004110498244746212,0.5836638475746088,0.0193065714859052,0.5627765760121737,0.018068295800695338,0.5722553678944653,0.029021224345567052,0.12219664814855524,0.048775019826268466,0.2323793001324973
