gene_id,gene_symbol,label,true_label,protein_svm_score,combined_svm_score,protein_svm_pred,combined_svm_pred,protein_correct,combined_correct,protein_error_type,combined_error_type,score_delta_combined_minus_protein,integration_error_group
ENSG00000122971,ACADS,1,1,0.7196267175353538,0.7508099354111427,1,1,True,True,TP,TP,0.031183217875788927,both_correct
ENSG00000162104,ADCY9,1,1,0.680303443100403,0.7568122194343249,1,1,True,True,TP,TP,0.07650877633392184,both_correct
ENSG00000163116,STPG2,0,0,0.23791986564081327,0.2356027743412085,0,0,True,True,TN,TN,-0.0023170912996047788,both_correct
ENSG00000187486,KCNJ11,1,1,0.6488173104001954,0.647390375820414,1,1,True,True,TP,TP,-0.0014269345797813804,both_correct
ENSG00000074211,PPP2R2C,1,1,0.6809935290255823,0.7163452167287763,1,1,True,True,TP,TP,0.03535168770319397,both_correct
ENSG00000125975,C20orf173,0,0,0.34733366759253154,0.3028046534310119,0,0,True,True,TN,TN,-0.04452901416151961,both_correct
ENSG00000102908,NFAT5,1,1,0.7415891679247183,0.7651008236547304,1,1,True,True,TP,TP,0.023511655730012126,both_correct
ENSG00000100426,ZBED4,0,0,0.228391033873063,0.4822951737779594,0,0,True,True,TN,TN,0.25390413990489635,both_correct
ENSG00000170262,MRAP,0,0,0.39008793562749766,0.3306479171631434,0,0,True,True,TN,TN,-0.05944001846435426,both_correct
ENSG00000204514,ZNF814,0,0,0.23387171121103267,0.19786535449123172,0,0,True,True,TN,TN,-0.03600635671980096,both_correct
ENSG00000008196,TFAP2B,1,1,0.7009364662509545,0.7277179548672169,1,1,True,True,TP,TP,0.026781488616262394,both_correct
ENSG00000159625,DRC7,0,0,0.19435484612747103,0.1733424140214323,0,0,True,True,TN,TN,-0.02101243210603873,both_correct
ENSG00000205359,SLCO6A1,1,1,0.6544748294265147,0.6049835111554381,1,1,True,True,TP,TP,-0.049491318271076556,both_correct
ENSG00000084092,NOA1,0,0,0.3159989082213806,0.31518352911951714,0,0,True,True,TN,TN,-0.0008153791018634671,both_correct
ENSG00000158669,GPAT4,1,1,0.6040727420698736,0.572252199105999,1,1,True,True,TP,TP,-0.0318205429638746,both_correct
