gene_id,gene_symbol,label,true_label,protein_svm_score,combined_svm_score,protein_svm_pred,combined_svm_pred,protein_correct,combined_correct,protein_error_type,combined_error_type,score_delta_combined_minus_protein,integration_error_group
ENSG00000123146,ADGRE5,0,0,0.5544739303140973,0.5327962037490201,1,1,False,False,FP,FP,-0.02167772656507716,both_wrong
ENSG00000172594,SMPDL3A,0,0,0.6830315915074686,0.6903664763527831,1,1,False,False,FP,FP,0.0073348848453145266,both_wrong
ENSG00000111727,HCFC2,0,0,0.6108160931356124,0.5825827770884968,1,1,False,False,FP,FP,-0.028233316047115542,both_wrong
ENSG00000205356,TECPR1,1,1,0.4390374712445002,0.35758673296412813,0,0,False,False,FN,FN,-0.08145073828037208,both_wrong
ENSG00000078237,TIGAR,1,1,0.3218770932275368,0.3410250863696386,0,0,False,False,FN,FN,0.01914799314210175,both_wrong
ENSG00000068796,KIF2A,0,0,0.6763378566007207,0.6865806518553479,1,1,False,False,FP,FP,0.010242795254627235,both_wrong
ENSG00000152254,G6PC2,1,1,0.4074978339952077,0.29373524050943295,0,0,False,False,FN,FN,-0.11376259348577478,both_wrong
ENSG00000129003,VPS13C,1,1,0.24560484367579433,0.31860432789651255,0,0,False,False,FN,FN,0.07299948422071822,both_wrong
ENSG00000164530,PI16,1,1,0.22966173272009588,0.23200765237216148,0,0,False,False,FN,FN,0.002345919652065598,both_wrong
ENSG00000138435,CHRNA1,0,0,0.7495348297278424,0.6176187841475461,1,1,False,False,FP,FP,-0.13191604558029624,both_wrong
ENSG00000105372,RPS19,0,0,0.5931791588092795,0.6231937370557187,1,1,False,False,FP,FP,0.03001457824643916,both_wrong
ENSG00000128040,SPINK2,0,0,0.5109993858565173,0.5095392853777232,1,1,False,False,FP,FP,-0.0014601004787940797,both_wrong
ENSG00000187240,DYNC2H1,1,1,0.2566970152790263,0.21700329420160627,0,0,False,False,FN,FN,-0.03969372107742,both_wrong
ENSG00000196511,TPK1,0,0,0.6295031348011053,0.5336622663122481,1,1,False,False,FP,FP,-0.0958408684888572,both_wrong
ENSG00000196275,GTF2IRD2,1,1,0.1723258319706425,0.2781256581068179,0,0,False,False,FN,FN,0.10579982613617539,both_wrong
ENSG00000104833,TUBB4A,0,0,0.6433171489558301,0.6917335303884182,1,1,False,False,FP,FP,0.048416381432588085,both_wrong
ENSG00000102984,ZNF821,0,0,0.5331349597733064,0.6214777438411065,1,1,False,False,FP,FP,0.08834278406780016,both_wrong
ENSG00000105397,TYK2,1,1,0.3519966015391366,0.28879965638996336,0,0,False,False,FN,FN,-0.06319694514917323,both_wrong
ENSG00000164647,STEAP1,1,1,0.31447756566072416,0.3601672965241573,0,0,False,False,FN,FN,0.04568973086343314,both_wrong
ENSG00000106331,PAX4,1,1,0.415382774138336,0.36022378211370015,0,0,False,False,FN,FN,-0.05515899202463587,both_wrong
ENSG00000134287,ARF3,0,0,0.5456235842427051,0.6146360971514371,1,1,False,False,FP,FP,0.069012512908732,both_wrong
ENSG00000173812,EIF1,0,0,0.5760415777435033,0.6754763120048073,1,1,False,False,FP,FP,0.099434734261304,both_wrong
ENSG00000116117,PARD3B,1,1,0.42948242041223683,0.41350648960410463,0,0,False,False,FN,FN,-0.0159759308081322,both_wrong
ENSG00000196277,GRM7,0,0,0.758207195231175,0.7320430512599632,1,1,False,False,FP,FP,-0.026164143971211806,both_wrong
ENSG00000143398,PIP5K1A,0,0,0.7942416238911033,0.6618635980831303,1,1,False,False,FP,FP,-0.13237802580797298,both_wrong
ENSG00000166860,ZBTB39,0,0,0.5258529990760713,0.5797769233006931,1,1,False,False,FP,FP,0.05392392422462178,both_wrong
ENSG00000118503,TNFAIP3,1,1,0.2640446821344858,0.29887109627749514,0,0,False,False,FN,FN,0.034826414143009354,both_wrong
ENSG00000002822,MAD1L1,1,1,0.22739845548260929,0.23461420814251138,0,0,False,False,FN,FN,0.007215752659902097,both_wrong
ENSG00000140153,WDR20,0,0,0.6877017481938463,0.6794450593588407,1,1,False,False,FP,FP,-0.008256688835005632,both_wrong
ENSG00000104976,SNAPC2,1,1,0.19025963813668054,0.1973747826605582,0,0,False,False,FN,FN,0.007115144523877653,both_wrong
ENSG00000090989,EXOC1,0,0,0.6285904437677816,0.5977334036946758,1,1,False,False,FP,FP,-0.030857040073105857,both_wrong
ENSG00000203760,CENPW,1,1,0.3588103857396293,0.37295408167033034,0,0,False,False,FN,FN,0.014143695930701028,both_wrong
ENSG00000198890,PRMT6,1,1,0.4448482313401347,0.4518641384117854,0,0,False,False,FN,FN,0.007015907071650729,both_wrong
ENSG00000164935,DCSTAMP,1,1,0.28099185480475236,0.27426683003303715,0,0,False,False,FN,FN,-0.006725024771715216,both_wrong
ENSG00000100116,GCAT,0,0,0.5511146764623197,0.560521161594762,1,1,False,False,FP,FP,0.009406485132442244,both_wrong
ENSG00000136014,USP44,1,1,0.3762594222677619,0.32275243323933966,0,0,False,False,FN,FN,-0.053506989028422214,both_wrong
ENSG00000172456,FGGY,0,0,0.6870132752989269,0.5985320508115158,1,1,False,False,FP,FP,-0.08848122448741103,both_wrong
ENSG00000184730,APOBR,1,1,0.198748628192915,0.18799588339346393,0,0,False,False,FN,FN,-0.01075274479945107,both_wrong
ENSG00000107201,RIGI,1,1,0.2977049775341446,0.23589122375866453,0,0,False,False,FN,FN,-0.06181375377548007,both_wrong
ENSG00000111252,SH2B3,1,1,0.3356843358420239,0.3932550522091304,0,0,False,False,FN,FN,0.05757071636710648,both_wrong
ENSG00000181915,ADO,1,1,0.43169745400004944,0.4198709272128625,0,0,False,False,FN,FN,-0.01182652678718693,both_wrong
ENSG00000115970,THADA,1,1,0.24558964402308517,0.20833316733011414,0,0,False,False,FN,FN,-0.037256476692971024,both_wrong
ENSG00000167772,ANGPTL4,1,1,0.40180112734632767,0.4135774006978885,0,0,False,False,FN,FN,0.01177627335156084,both_wrong
ENSG00000163636,PSMD6,1,1,0.487779328262693,0.38748694784474863,0,0,False,False,FN,FN,-0.10029238041794436,both_wrong
ENSG00000132205,EMILIN2,1,1,0.4374448518961378,0.4161223803768977,0,0,False,False,FN,FN,-0.021322471519240105,both_wrong
ENSG00000085185,BCORL1,1,1,0.1865432079157764,0.4025806785380637,0,0,False,False,FN,FN,0.2160374706222873,both_wrong
ENSG00000198670,LPA,1,1,0.3475237580499096,0.3413101449402094,0,0,False,False,FN,FN,-0.0062136131097002,both_wrong
ENSG00000141314,RHBDL3,0,0,0.6957550915630609,0.7618440189473707,1,1,False,False,FP,FP,0.06608892738430983,both_wrong
ENSG00000178409,BEND3,1,1,0.2870329902028151,0.48132202026663584,0,0,False,False,FN,FN,0.19428903006382076,both_wrong
ENSG00000065183,WDR3,0,0,0.6115226952511245,0.6408976360947057,1,1,False,False,FP,FP,0.029374940843581276,both_wrong
ENSG00000185262,UBALD2,0,0,0.6636784591695196,0.6791676991180697,1,1,False,False,FP,FP,0.015489239948550115,both_wrong
ENSG00000188352,FOCAD,1,1,0.21889289947551796,0.31757510352258767,0,0,False,False,FN,FN,0.0986822040470697,both_wrong
ENSG00000160221,GATD3,0,0,0.7587566171616382,0.7708860054620073,1,1,False,False,FP,FP,0.012129388300369026,both_wrong
ENSG00000143971,ETAA1,1,1,0.3195981894853554,0.3832908810379998,0,0,False,False,FN,FN,0.0636926915526444,both_wrong
ENSG00000103932,RPAP1,1,1,0.15985135939173759,0.11847399405718677,0,0,False,False,FN,FN,-0.04137736533455082,both_wrong
ENSG00000123545,NDUFAF4,1,1,0.3526494803366318,0.40478113463733933,0,0,False,False,FN,FN,0.05213165430070754,both_wrong
ENSG00000142864,SERBP1,0,0,0.6474099781599648,0.6680950293806862,1,1,False,False,FP,FP,0.020685051220721395,both_wrong
ENSG00000147548,NSD3,0,0,0.5150547147271101,0.6687930910157271,1,1,False,False,FP,FP,0.15373837628861708,both_wrong
ENSG00000138771,SHROOM3,1,1,0.36478427994064877,0.38122203005447697,0,0,False,False,FN,FN,0.016437750113828198,both_wrong
ENSG00000164512,ANKRD55,1,1,0.44274761938553103,0.339436262096356,0,0,False,False,FN,FN,-0.10331135728917501,both_wrong
ENSG00000108557,RAI1,1,1,0.1946630940905213,0.2037278491080558,0,0,False,False,FN,FN,0.00906475501753451,both_wrong
ENSG00000146267,FAXC,0,0,0.5172716694676939,0.7118496550228608,1,1,False,False,FP,FP,0.19457798555516692,both_wrong
ENSG00000187325,TAF9B,0,0,0.672090464550556,0.6481907997873314,1,1,False,False,FP,FP,-0.023899664763224582,both_wrong
ENSG00000135930,EIF4E2,0,0,0.7423746446657031,0.7181881281454904,1,1,False,False,FP,FP,-0.024186516520212753,both_wrong
ENSG00000050767,COL23A1,0,0,0.6966418242128322,0.6752709672628764,1,1,False,False,FP,FP,-0.021370856949955774,both_wrong
ENSG00000108091,CCDC6,0,0,0.6833644990912774,0.7429672725067602,1,1,False,False,FP,FP,0.05960277341548281,both_wrong
ENSG00000105135,ILVBL,0,0,0.6800821335589924,0.6929674195834246,1,1,False,False,FP,FP,0.012885286024432174,both_wrong
ENSG00000172766,NAA16,0,0,0.5261724181436633,0.5125194691512807,1,1,False,False,FP,FP,-0.013652948992382674,both_wrong
ENSG00000100485,SOS2,1,1,0.3035208799188063,0.3016390826903419,0,0,False,False,FN,FN,-0.001881797228464377,both_wrong
ENSG00000112640,PPP2R5D,0,0,0.6394344827351898,0.6330052247102295,1,1,False,False,FP,FP,-0.006429258024960305,both_wrong
ENSG00000130713,EXOSC2,0,0,0.5587564512761454,0.5725906972429262,1,1,False,False,FP,FP,0.013834245966780845,both_wrong
ENSG00000007171,NOS2,1,1,0.41214352017967093,0.3513910508223062,0,0,False,False,FN,FN,-0.060752469357364725,both_wrong
ENSG00000152527,PLEKHH2,1,1,0.371805228637294,0.33478850102491575,0,0,False,False,FN,FN,-0.03701672761237823,both_wrong
ENSG00000134242,PTPN22,1,1,0.3959426449872499,0.3487614382524949,0,0,False,False,FN,FN,-0.04718120673475501,both_wrong
