gene_id,gene_symbol,label,true_label,protein_svm_score,combined_svm_score,protein_svm_pred,combined_svm_pred,protein_correct,combined_correct,protein_error_type,combined_error_type,score_delta_combined_minus_protein,integration_error_group
ENSG00000156219,ART3,1,1,0.6193076352627219,0.35269463833278997,1,0,True,False,TP,FN,-0.26661299692993196,protein_correct_combined_wrong
ENSG00000101391,CDK5RAP1,1,1,0.6071449088683397,0.49478191852840775,1,0,True,False,TP,FN,-0.11236299033993197,protein_correct_combined_wrong
ENSG00000134480,CCNH,1,1,0.5850916648962325,0.3591395737956879,1,0,True,False,TP,FN,-0.22595209110054465,protein_correct_combined_wrong
ENSG00000241878,PISD,1,1,0.5789191580970285,0.44154461199302786,1,0,True,False,TP,FN,-0.13737454610400068,protein_correct_combined_wrong
ENSG00000185345,PRKN,1,1,0.5681787026301512,0.4411441926670085,1,0,True,False,TP,FN,-0.12703450996314275,protein_correct_combined_wrong
ENSG00000147684,NDUFB9,1,1,0.5312096055832799,0.4617540004974393,1,0,True,False,TP,FN,-0.06945560508584059,protein_correct_combined_wrong
ENSG00000128805,ARHGAP22,1,1,0.529745443367682,0.4356540888732596,1,0,True,False,TP,FN,-0.09409135449442241,protein_correct_combined_wrong
ENSG00000165623,UCMA,1,1,0.5170019718367761,0.49237837041150934,1,0,True,False,TP,FN,-0.02462360142526676,protein_correct_combined_wrong
ENSG00000131778,CHD1L,1,1,0.507650847638342,0.49187835560937304,1,0,True,False,TP,FN,-0.015772492028968965,protein_correct_combined_wrong
ENSG00000157212,PAXIP1,0,0,0.4873443429471905,0.7235852833494757,0,1,True,False,TN,FP,0.23624094040228522,protein_correct_combined_wrong
ENSG00000204634,TBC1D8,0,0,0.47541196507655187,0.5756732709169257,0,1,True,False,TN,FP,0.1002613058403738,protein_correct_combined_wrong
ENSG00000112685,EXOC2,0,0,0.4711905604852854,0.5159000951316886,0,1,True,False,TN,FP,0.04470953464640315,protein_correct_combined_wrong
ENSG00000125733,TRIP10,0,0,0.4621939531802918,0.5146063192393596,0,1,True,False,TN,FP,0.052412366059067794,protein_correct_combined_wrong
ENSG00000116260,QSOX1,0,0,0.461818510353558,0.5973398088474925,0,1,True,False,TN,FP,0.13552129849393452,protein_correct_combined_wrong
ENSG00000162664,ZNF326,0,0,0.4299963346679257,0.5349956022076279,0,1,True,False,TN,FP,0.10499926753970218,protein_correct_combined_wrong
