model,threshold,accuracy,precision,recall_sensitivity,specificity,f1,roc_auc,pr_auc,mcc,tn,fp,fn,tp,permuted_block,repeat_id,roc_auc_drop,pr_auc_drop,f1_drop,mcc_drop,accuracy_drop
Protein block permuted,0.5,0.5055350553505535,0.5035971223021583,0.5185185185185185,0.49264705882352944,0.5109489051094891,0.5153594771241831,0.519672256441404,0.011169228013174432,67,69,65,70,protein_block,0,0.21361655773420474,0.23758065422827124,0.14805492630813544,0.33259375337501584,0.16605166051660514
Genomic block permuted,0.5,0.6789667896678967,0.6818181818181818,0.6666666666666666,0.6911764705882353,0.6741573033707865,0.7157135076252723,0.7310895555565147,0.35796013681246835,94,42,45,90,genomic_block,0,0.013262527233115495,0.02616335511316059,-0.015153471953161968,-0.014197155424278074,-0.0073800738007380184
Protein block permuted,0.5,0.4833948339483395,0.48120300751879697,0.4740740740740741,0.49264705882352944,0.47761194029850745,0.49645969498910675,0.5197925839658764,-0.033284306158917656,67,69,71,64,protein_block,1,0.23251633986928105,0.2374603267037989,0.18139189111911708,0.3770472875471079,0.1881918819188192
Genomic block permuted,0.5,0.6642066420664207,0.664179104477612,0.6592592592592592,0.6691176470588235,0.6617100371747212,0.7333605664488017,0.758339277369488,0.3283947932318591,91,45,46,89,genomic_block,1,-0.004384531590413854,-0.0010863666998127686,-0.00270620575709668,0.015368188156331175,0.0073800738007380184
Protein block permuted,0.5,0.5313653136531366,0.5289855072463768,0.5407407407407407,0.5220588235294118,0.5347985347985348,0.5529139433551198,0.5289163000225374,0.0628098281525893,71,65,62,73,protein_block,2,0.17606209150326801,0.22833661064713784,0.12420529661908974,0.280953153235601,0.14022140221402213
Genomic block permuted,0.5,0.6642066420664207,0.6692307692307692,0.6444444444444445,0.6838235294117647,0.6566037735849056,0.7192265795206971,0.71889978486211,0.32853649576111404,93,43,48,87,genomic_block,2,0.009749455337690671,0.038353125807565225,0.002400057832718905,0.015226485627076236,0.0073800738007380184
Protein block permuted,0.5,0.4981549815498155,0.49606299212598426,0.4666666666666667,0.5294117647058824,0.48091603053435117,0.4943355119825708,0.49267790928278593,-0.00392928066759905,72,64,72,63,protein_block,3,0.234640522875817,0.26457500138688933,0.17808780088327336,0.34769226205578935,0.17343173431734316
Genomic block permuted,0.5,0.6715867158671587,0.6742424242424242,0.6592592592592592,0.6838235294117647,0.6666666666666666,0.6868464052287582,0.6906367950026938,0.3431949622194426,93,43,46,89,genomic_block,3,0.04212962962962963,0.06661611566698145,-0.007662835249042099,0.0005680191687476577,0.0
Protein block permuted,0.5,0.4612546125461255,0.4566929133858268,0.42962962962962964,0.49264705882352944,0.44274809160305345,0.474400871459695,0.4745534265959115,-0.07787615989810895,67,69,77,58,protein_block,4,0.2545751633986928,0.2826994840737638,0.21625573981457108,0.4216391412862992,0.2103321033210332
Genomic block permuted,0.5,0.6937269372693727,0.703125,0.6666666666666666,0.7205882352941176,0.6844106463878327,0.7342864923747278,0.7596854280936899,0.38784684123274277,98,38,45,90,genomic_block,4,-0.0053104575163399614,-0.002432517424014624,-0.025406814970208136,-0.044083859844552487,-0.022140221402214055
Protein block permuted,0.5,0.5719557195571956,0.5748031496062992,0.5407407407407407,0.6029411764705882,0.5572519083969466,0.5839869281045751,0.5574643249371989,0.14396447779342075,82,54,62,73,protein_block,5,0.1449891067538127,0.19978858573247638,0.10175192302067793,0.19979850359476953,0.09963099630996308
Genomic block permuted,0.5,0.6346863468634686,0.6363636363636364,0.6222222222222222,0.6470588235294118,0.6292134831460674,0.68150871459695,0.6942184608406501,0.2693690892543141,88,48,51,84,genomic_block,5,0.04746732026143785,0.06303444982902517,0.029790348271557132,0.0743938921338762,0.03690036900369009
Protein block permuted,0.5,0.5166051660516605,0.5144927536231884,0.5259259259259259,0.5073529411764706,0.5201465201465202,0.5142156862745098,0.5139067847747989,0.033284306158917656,69,67,64,71,protein_block,6,0.21476034858387805,0.24334612589487636,0.13885731127110434,0.31047867522927264,0.15498154981549817
Genomic block permuted,0.5,0.6457564575645757,0.6585365853658537,0.6,0.6911764705882353,0.627906976744186,0.6703703703703703,0.6772615744135768,0.2924214340417826,94,42,54,81,genomic_block,6,0.05860566448801752,0.07999133625609844,0.03109685467343848,0.05134154734640767,0.02583025830258301
Protein block permuted,0.5,0.5830258302583026,0.5797101449275363,0.5925925925925926,0.5735294117647058,0.5860805860805861,0.6014705882352941,0.5637918772190353,0.16614915513044004,78,58,55,80,protein_block,7,0.1275054466230937,0.19346103345063992,0.07292324533703842,0.17761382625775024,0.08856088560885611
Genomic block permuted,0.5,0.6642066420664207,0.6617647058823529,0.6666666666666666,0.6617647058823529,0.6642066420664207,0.7166666666666668,0.7146608393218689,0.3284313725490196,90,46,45,90,genomic_block,7,0.012309368191721015,0.042592071347806404,-0.00520281064879613,0.015331608839170674,0.0073800738007380184
Protein block permuted,0.5,0.4797047970479705,0.4782608695652174,0.4888888888888889,0.47058823529411764,0.4835164835164835,0.48142701525054465,0.4990223570413601,-0.04052949882526144,64,72,69,66,protein_block,8,0.24754901960784315,0.25823055362831515,0.175487347901141,0.38429248021345175,0.1918819188191882
Genomic block permuted,0.5,0.6568265682656826,0.6590909090909091,0.6444444444444445,0.6691176470588235,0.651685393258427,0.6928921568627451,0.7074776236766966,0.3136646130333912,91,45,48,87,genomic_block,8,0.03608387799564272,0.04977528699297862,0.007318438159197527,0.030098368354799065,0.014760147601476037
Protein block permuted,0.5,0.5166051660516605,0.5149253731343284,0.5111111111111111,0.5220588235294118,0.5130111524163569,0.5108115468409586,0.5001525544870133,0.03317174142945798,71,65,66,69,protein_block,9,0.21816448801742916,0.2571003561826619,0.14599267900126767,0.3105912399587323,0.15498154981549817
Genomic block permuted,0.5,0.6420664206642066,0.6397058823529411,0.6444444444444445,0.6397058823529411,0.6420664206642066,0.6912581699346406,0.6854546790187566,0.2841503267973856,87,49,48,87,genomic_block,9,0.03771786492374718,0.0717982316509187,0.016937410753417925,0.05961265459080467,0.029520295202952074
Protein block permuted,0.5,0.5682656826568265,0.5681818181818182,0.5555555555555556,0.5808823529411765,0.5617977528089888,0.5731481481481482,0.5946010031963658,0.13648251791708269,79,57,60,75,protein_block,10,0.15582788671023962,0.1626519074733095,0.09720607860863573,0.2072804634711076,0.10332103321033215
Genomic block permuted,0.5,0.6457564575645757,0.6402877697841727,0.6592592592592592,0.6323529411764706,0.6496350364963503,0.7148148148148148,0.7343435207804884,0.29170754528066295,86,50,46,89,genomic_block,10,0.014161220043573008,0.022909389889186893,0.009368794921274182,0.05205543610752733,0.02583025830258301
Protein block permuted,0.5,0.4907749077490775,0.48854961832061067,0.4740740740740741,0.5073529411764706,0.48120300751879697,0.5004357298474945,0.536000900669625,-0.01858310902644023,69,67,71,64,protein_block,11,0.22854030501089329,0.22125201000005024,0.17780082389882756,0.3623460904146305,0.18081180811808117
Genomic block permuted,0.5,0.6937269372693727,0.7,0.674074074074074,0.7132352941176471,0.6867924528301886,0.722004357298475,0.7263578324862757,0.38762618572378993,97,39,44,91,genomic_block,11,0.006971677559912792,0.030895078183399538,-0.027788621412564107,-0.04386320433559965,-0.022140221402214055
Protein block permuted,0.5,0.4944649446494465,0.49242424242424243,0.48148148148148145,0.5073529411764706,0.4868913857677903,0.4995370370370371,0.531639785253324,-0.011169228013174432,69,67,70,65,protein_block,12,0.2294389978213507,0.22561312541635126,0.17211244564983424,0.3549322094013647,0.17712177121771217
Genomic block permuted,0.5,0.6457564575645757,0.6466165413533834,0.6370370370370371,0.6544117647058824,0.6417910447761194,0.6910130718954248,0.6916520878974226,0.2914964357714704,89,47,49,86,genomic_block,12,0.037962962962962976,0.06560082277225265,0.017212786641505162,0.052266545616719895,0.02583025830258301
Protein block permuted,0.5,0.5498154981549815,0.5481481481481482,0.5481481481481482,0.5514705882352942,0.5481481481481482,0.5728758169934641,0.5845003293510561,0.09961873638344226,75,61,61,74,protein_block,13,0.15610021786492367,0.17275258131861915,0.11085568326947637,0.24414424500474802,0.12177121771217714
Genomic block permuted,0.5,0.6531365313653137,0.664,0.6148148148148148,0.6911764705882353,0.6384615384615384,0.7099673202614378,0.7165858799436539,0.3069120655282436,94,42,52,83,genomic_block,13,0.01900871459694997,0.0406670307260214,0.020542292956086117,0.036850915859946654,0.01845018450184499
Protein block permuted,0.5,0.5055350553505535,0.5038167938931297,0.4888888888888889,0.5220588235294118,0.49624060150375937,0.5156862745098039,0.5050925271638341,0.010953680100628992,71,65,69,66,protein_block,14,0.21328976034858393,0.25216038350584113,0.16276322991386516,0.3328093012875613,0.16605166051660514
Genomic block permuted,0.5,0.6457564575645757,0.6466165413533834,0.6370370370370371,0.6544117647058824,0.6417910447761194,0.7005174291938998,0.7108061937813646,0.2914964357714704,89,47,49,86,genomic_block,14,0.02845860566448799,0.0464467168883107,0.017212786641505162,0.052266545616719895,0.02583025830258301
Protein block permuted,0.5,0.47601476014760147,0.4748201438848921,0.4888888888888889,0.4632352941176471,0.48175182481751827,0.5150871459694989,0.5162516908199193,-0.04789147035892841,63,73,69,66,protein_block,15,0.2138888888888889,0.24100121984975598,0.17725200660010626,0.3916544517471187,0.1955719557195572
Genomic block permuted,0.5,0.6678966789667896,0.6691729323308271,0.6592592592592592,0.6764705882352942,0.664179104477612,0.7189542483660131,0.742518108906606,0.33578471876197785,92,44,46,89,genomic_block,15,0.010021786492374729,0.014734801763069294,-0.00517527305998744,0.007978262626212429,0.0036900369003690647
Protein block permuted,0.5,0.4981549815498155,0.4961832061068702,0.48148148148148145,0.5147058823529411,0.48872180451127817,0.4845860566448802,0.49720798018636725,-0.003814714462905619,70,66,70,65,protein_block,16,0.2443899782135076,0.260044930483308,0.17028202690634636,0.3475776958510959,0.17343173431734316
Genomic block permuted,0.5,0.6236162361623616,0.6153846153846154,0.6518518518518519,0.5955882352941176,0.6330935251798561,0.693082788671024,0.7292407499793416,0.24781831219695505,81,55,47,88,genomic_block,16,0.03589324618736378,0.028012160690333632,0.025910306237768466,0.09594466919123523,0.047970479704797064
Protein block permuted,0.5,0.5092250922509225,0.5075757575757576,0.4962962962962963,0.5220588235294118,0.50187265917603,0.5574074074074074,0.5238480665758306,0.01836112117287699,71,65,68,67,protein_block,17,0.17156862745098045,0.23340484409384465,0.15713117224159456,0.3254018602153133,0.16236162361623618
Genomic block permuted,0.5,0.6678966789667896,0.6744186046511628,0.6444444444444445,0.6911764705882353,0.6590909090909091,0.7168845315904139,0.7336224537360344,0.3360054550401793,94,42,48,87,genomic_block,17,0.012091503267973924,0.023630456933640853,-8.70776732845302e-05,0.007757526348010968,0.0036900369003690647
Protein block permuted,0.5,0.5239852398523985,0.5238095238095238,0.4888888888888889,0.5588235294117647,0.5057471264367817,0.5308278867102396,0.546829429108698,0.04782979220077107,76,60,69,66,protein_block,18,0.19814814814814818,0.21042348156097723,0.15325670498084287,0.29593318918741923,0.14760147601476015
Genomic block permuted,0.5,0.6531365313653137,0.6614173228346457,0.6222222222222222,0.6838235294117647,0.6412213740458015,0.7065904139433551,0.7115778316807346,0.30664761210054253,93,43,51,84,genomic_block,18,0.02238562091503271,0.04567507898894063,0.017782457371823046,0.03711536928764775,0.01845018450184499
Protein block permuted,0.5,0.5276752767527675,0.5271317829457365,0.5037037037037037,0.5514705882352942,0.5151515151515151,0.5334150326797386,0.5227096609099344,0.055237508269344635,75,61,67,68,protein_block,19,0.19556100217864925,0.23454324975974084,0.1438523162661094,0.28852547311884563,0.1439114391143912
