gene_id,gene_symbol_protein,label_protein,protein_row_index,original_protein_split,gene_symbol_genomic,label_genomic,genomic_row_index,original_genomic_split,label_match,label,gene_symbol
ENSG00000205155,PSENEN,0,0,train,PSENEN,0,1589,test,True,0,PSENEN
ENSG00000164530,PI16,1,1,train,PI16,1,250,train,True,1,PI16
ENSG00000143167,GPA33,0,2,train,GPA33,0,1634,test,True,0,GPA33
ENSG00000137691,CFAP300,0,3,train,CFAP300,0,511,train,True,0,CFAP300
ENSG00000095981,KCNK16,1,4,train,KCNK16,1,837,train,True,1,KCNK16
ENSG00000213996,TM6SF2,1,5,train,TM6SF2,1,1112,train,True,1,TM6SF2
ENSG00000164823,OSGIN2,0,6,train,OSGIN2,0,1568,test,True,0,OSGIN2
ENSG00000185716,MOSMO,0,7,train,MOSMO,0,994,train,True,0,MOSMO
ENSG00000181873,IBA57,0,8,train,IBA57,0,947,train,True,0,IBA57
ENSG00000164647,STEAP1,1,9,train,STEAP1,1,1438,validation,True,1,STEAP1
ENSG00000145626,UGT3A1,0,10,train,UGT3A1,0,1323,validation,True,0,UGT3A1
ENSG00000196275,GTF2IRD2,1,11,train,GTF2IRD2,1,321,train,True,1,GTF2IRD2
ENSG00000205302,SNX2,0,12,train,SNX2,0,1003,train,True,0,SNX2
ENSG00000169594,BNC1,0,13,train,BNC1,0,1668,test,True,0,BNC1
ENSG00000124780,KCNK17,1,14,train,KCNK17,1,1387,validation,True,1,KCNK17
ENSG00000139719,VPS33A,0,15,train,VPS33A,0,417,train,True,0,VPS33A
ENSG00000284479,SMIM39,0,16,train,SMIM39,0,1109,train,True,0,SMIM39
ENSG00000151148,UBE3B,0,17,train,UBE3B,0,177,train,True,0,UBE3B
ENSG00000168081,PNOC,1,18,train,PNOC,1,1509,validation,True,1,PNOC
ENSG00000117707,PROX1,1,19,train,PROX1,1,1177,train,True,1,PROX1
ENSG00000105877,DNAH11,0,20,train,DNAH11,0,1566,test,True,0,DNAH11
ENSG00000050030,NEXMIF,0,21,train,NEXMIF,0,1686,test,True,0,NEXMIF
ENSG00000184985,SORCS2,1,22,train,SORCS2,1,372,train,True,1,SORCS2
ENSG00000103253,HAGHL,0,23,train,HAGHL,0,1531,validation,True,0,HAGHL
ENSG00000154269,ENPP3,1,24,train,ENPP3,1,1567,test,True,1,ENPP3
ENSG00000168418,KCNG4,0,25,train,KCNG4,0,688,train,True,0,KCNG4
ENSG00000164574,GALNT10,1,26,train,GALNT10,1,1208,train,True,1,GALNT10
ENSG00000111275,ALDH2,1,27,train,ALDH2,1,1643,test,True,1,ALDH2
ENSG00000157388,CACNA1D,1,28,train,CACNA1D,1,1041,train,True,1,CACNA1D
ENSG00000183310,OR2T34,0,29,train,OR2T34,0,1159,train,True,0,OR2T34
ENSG00000166035,LIPC,1,30,train,LIPC,1,677,train,True,1,LIPC
ENSG00000077684,JADE1,0,31,train,JADE1,0,660,train,True,0,JADE1
ENSG00000160803,UBQLN4,0,32,train,UBQLN4,0,628,train,True,0,UBQLN4
ENSG00000197976,AKAP17A,0,33,train,AKAP17A,0,1034,train,True,0,AKAP17A
ENSG00000085978,ATG16L1,1,34,train,ATG16L1,1,1270,validation,True,1,ATG16L1
ENSG00000197093,GAL3ST4,0,35,train,GAL3ST4,0,387,train,True,0,GAL3ST4
ENSG00000112499,SLC22A2,1,36,train,SLC22A2,1,1797,test,True,1,SLC22A2
ENSG00000173812,EIF1,0,37,train,EIF1,0,854,train,True,0,EIF1
ENSG00000138190,EXOC6,1,38,train,EXOC6,1,907,train,True,1,EXOC6
ENSG00000174697,LEP,1,39,train,LEP,1,995,train,True,1,LEP
ENSG00000138050,THUMPD2,0,40,train,THUMPD2,0,1216,train,True,0,THUMPD2
ENSG00000125744,RTN2,0,41,train,RTN2,0,363,train,True,0,RTN2
ENSG00000183049,CAMK1D,1,42,train,CAMK1D,1,1551,test,True,1,CAMK1D
ENSG00000090686,USP48,1,43,train,USP48,1,1508,validation,True,1,USP48
ENSG00000105675,ATP4A,1,44,train,ATP4A,1,1077,train,True,1,ATP4A
ENSG00000196118,CFAP119,0,45,train,CFAP119,0,491,train,True,0,CFAP119
ENSG00000188112,C6orf132,0,46,train,C6orf132,0,654,train,True,0,C6orf132
