split,row_idx,gene_id,gene_symbol,label,sequence_length,n_windows
train,0,ENSG00000128607,KLHDC10,0,2500,2
train,1,ENSG00000146374,RSPO3,1,2500,2
train,2,ENSG00000163159,VPS72,0,2500,2
train,3,ENSG00000115020,PIKFYVE,0,2500,2
train,4,ENSG00000164588,HCN1,1,2500,2
train,5,ENSG00000086015,MAST2,1,2500,2
train,6,ENSG00000112053,SLC26A8,0,2500,2
train,7,ENSG00000205426,KRT81,0,2500,2
train,8,ENSG00000203985,LDLRAD1,0,2500,2
train,9,ENSG00000169047,IRS1,1,2500,2
train,10,ENSG00000106459,NRF1,1,2500,2
train,11,ENSG00000182463,TSHZ2,1,2500,2
train,12,ENSG00000215262,KCNU1,1,2500,2
train,13,ENSG00000171723,GPHN,0,2500,2
train,14,ENSG00000173376,NDNF,0,2500,2
train,15,ENSG00000185305,ARL15,1,2500,2
train,16,ENSG00000196476,C20orf96,0,2500,2
train,17,ENSG00000171298,GAA,1,2500,2
train,18,ENSG00000125744,RTN2,0,2500,2
train,19,ENSG00000148600,CDHR1,0,2500,2
train,20,ENSG00000154975,CA10,1,2500,2
train,21,ENSG00000135111,TBX3,0,2500,2
train,22,ENSG00000152359,POC5,1,2500,2
train,23,ENSG00000197386,HTT,1,2500,2
train,24,ENSG00000196118,CFAP119,0,2500,2
train,25,ENSG00000136250,AOAH,1,2500,2
train,26,ENSG00000196456,ZNF775,0,2500,2
train,27,ENSG00000083844,ZNF264,0,2500,2
train,28,ENSG00000168701,TMEM208,0,2500,2
train,29,ENSG00000109670,FBXW7,1,2500,2
train,30,ENSG00000136197,C7orf25,0,2500,2
train,31,ENSG00000156515,HK1,1,2500,2
train,32,ENSG00000102221,JADE3,0,2500,2
train,33,ENSG00000152217,SETBP1,1,2500,2
train,34,ENSG00000164045,CDC25A,1,2500,2
train,35,ENSG00000147127,RAB41,0,2500,2
train,36,ENSG00000168275,COA6,0,2500,2
train,37,ENSG00000165671,NSD1,1,2500,2
train,38,ENSG00000107443,CCNJ,0,2500,2
train,39,ENSG00000166313,APBB1,0,2500,2
train,40,ENSG00000187612,OR5W2,0,2500,2
train,41,ENSG00000152669,CCNO,0,2500,2
train,42,ENSG00000183347,GBP6,1,2500,2
train,43,ENSG00000217236,SP9,1,2500,2
train,44,ENSG00000133247,KMT5C,0,2500,2
train,45,ENSG00000136122,BORA,0,2500,2
train,46,ENSG00000174306,ZHX3,1,2500,2
train,47,ENSG00000008083,JARID2,1,2500,2
train,48,ENSG00000171595,DNAI2,0,2500,2
train,49,ENSG00000158786,PLA2G2F,1,2500,2
train,50,ENSG00000089847,ANKRD24,0,2500,2
train,51,ENSG00000214279,SCART1,0,2500,2
train,52,ENSG00000143869,GDF7,1,2500,2
train,53,ENSG00000163811,WDR43,0,2500,2
train,54,ENSG00000257743,MGAM2,1,2500,2
train,55,ENSG00000073756,PTGS2,1,2500,2
train,56,ENSG00000146966,DENND2A,0,2500,2
train,57,ENSG00000182218,HHIPL1,1,2500,2
train,58,ENSG00000104369,JPH1,1,2500,2
train,59,ENSG00000171435,KSR2,1,2500,2
train,60,ENSG00000124194,GDAP1L1,1,2500,2
train,61,ENSG00000060069,CTDP1,0,2500,2
train,62,ENSG00000066135,KDM4A,0,2500,2
train,63,ENSG00000132842,AP3B1,1,2500,2
train,64,ENSG00000105675,ATP4A,1,2500,2
train,65,ENSG00000100346,CACNA1I,0,2500,2
train,66,ENSG00000165501,LRR1,0,2500,2
train,67,ENSG00000284631,SCYGR4,0,2500,2
train,68,ENSG00000291307,POLGARF,0,2500,2
train,69,ENSG00000168675,LDLRAD4,1,2500,2
train,70,ENSG00000075218,GTSE1,0,2500,2
train,71,ENSG00000118520,ARG1,1,2500,2
train,72,ENSG00000109501,WFS1,1,2500,2
train,73,ENSG00000147113,DIPK2B,0,2500,2
train,74,ENSG00000159714,ZDHHC1,0,2500,2
train,75,ENSG00000101247,NDUFAF5,0,2500,2
train,76,ENSG00000197296,FITM2,1,2500,2
train,77,ENSG00000166450,PRTG,0,2500,2
train,78,ENSG00000168491,CCDC110,0,2500,2
train,79,ENSG00000069493,CLEC2D,0,2500,2
train,80,ENSG00000244588,RAD21L1,0,2500,2
train,81,ENSG00000198597,ZNF536,1,2500,2
train,82,ENSG00000146830,GIGYF1,1,2500,2
train,83,ENSG00000085872,CHERP,0,2500,2
train,84,ENSG00000047932,GOPC,1,2500,2
train,85,ENSG00000123080,CDKN2C,1,2500,2
train,86,ENSG00000197355,UAP1L1,0,2500,2
train,87,ENSG00000198752,CDC42BPB,0,2500,2
