metric,model_a,model_b,metric_a,metric_b,delta_b_minus_a,delta_ci_lower,delta_ci_upper,p_value_bootstrap_two_sided,n_bootstrap_valid,interpretation
roc_auc,Protein_only_ProtBERT_SW,Multimodal_handcrafted,0.7274,0.729,0.0016,-0.0287,0.0316,0.912,5000,not_significant_or_uncertain
pr_auc,Protein_only_ProtBERT_SW,Multimodal_handcrafted,0.7433,0.7573,0.0139,-0.0281,0.0566,0.5428,5000,not_significant_or_uncertain
roc_auc,Genomic_only_K3K4Basic,Multimodal_handcrafted,0.6397,0.729,0.0893,0.027,0.1518,0.006,5000,significant
pr_auc,Genomic_only_K3K4Basic,Multimodal_handcrafted,0.6215,0.7573,0.1357,0.0678,0.1985,0.0,5000,significant
roc_auc,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,0.7274,0.7568,0.0294,-0.0099,0.0692,0.1284,5000,not_significant_or_uncertain
pr_auc,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,0.7433,0.7447,0.0013,-0.0589,0.0638,0.958,5000,not_significant_or_uncertain
roc_auc,Genomic_only_K3K4Basic,Multimodal_DNABERT2,0.6397,0.7568,0.1171,0.0528,0.1842,0.0004,5000,significant
pr_auc,Genomic_only_K3K4Basic,Multimodal_DNABERT2,0.6215,0.7447,0.1232,0.0541,0.1913,0.0008,5000,significant
roc_auc,Multimodal_handcrafted,Multimodal_DNABERT2,0.729,0.7568,0.0278,0.0015,0.054,0.0396,5000,significant
pr_auc,Multimodal_handcrafted,Multimodal_DNABERT2,0.7573,0.7447,-0.0126,-0.0552,0.0298,0.598,5000,not_significant_or_uncertain
