top_n,group,gene_symbol,true_label,handcrafted_rank,dnabert2_rank,rank_improvement_by_dnabert2,curated_biological_themes,why_this_gene_matters,literature_evidence_to_fill,citation_to_fill,final_interpretation_to_fill
50,moved_out_from_handcrafted,NDUFB3,1,19,104,-85,mitochondrial_function;oxidative_phosphorylation,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,SLC5A1,1,20,74,-54,glucose_metabolism;known_t2d_gwas_or_monogenic,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,GATD3,0,23,77,-54,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,HMG20A,1,26,62,-36,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,NDUFA7,1,29,98,-69,mitochondrial_function;oxidative_phosphorylation,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,RALY,1,30,114,-84,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,NDUFB1,1,37,55,-18,mitochondrial_function;oxidative_phosphorylation,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,GRM7,0,38,61,-23,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,DPP4,1,39,57,-18,beta_cell_biology;known_t2d_gwas_or_monogenic,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,EIF4E2,0,42,64,-22,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_out_from_handcrafted,MGAM,1,46,82,-36,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
50,moved_in_by_DNABERT2,MAGI1,1,54,3,51,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,CHRNA1,0,89,19,70,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,TUBB4A,0,57,25,32,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,NSD3,0,67,29,38,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,PARP8,1,115,33,82,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,IGSF21,1,88,35,53,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,GLRA1,1,70,37,33,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,NCALD,1,58,38,20,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,EBF2,1,52,45,7,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,DDC,1,77,46,31,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
50,moved_in_by_DNABERT2,GALNT3,1,61,48,13,,"Moved in by DNABERT-2; check whether it captures alternative regulatory, transcriptional, neuronal, metabolic, or diabetes-related signal.",,,
100,moved_out_from_handcrafted,NDUFB3,1,19,104,-85,mitochondrial_function;oxidative_phosphorylation,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,RALY,1,30,114,-84,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,NDUFA13,1,53,151,-98,mitochondrial_function;oxidative_phosphorylation,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,ILVBL,0,55,110,-55,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,SMPDL3A,0,59,103,-44,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,ARID5B,1,71,137,-66,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,WDR3,0,79,190,-111,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
100,moved_out_from_handcrafted,MYBL2,1,80,140,-60,,"Moved out by DNABERT-2; check whether it supports mitochondrial/OXPHOS, glucose metabolism, insulin signalling, beta-cell biology, or known T2D evidence.",,,
