gene_symbol_upper,handcrafted_rank,dnabert2_rank,rank_delta_dnabert2_minus_handcrafted,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,gene_id,gene_symbol,true_label,rank_improvement_by_dnabert2,top50_membership,top100_membership,rank_shift_category,rank_direction,abs_rank_shift,abs_score_shift,curated_biological_themes,has_curated_theme_support
WDR3,79,190,111,0.6409,0.3671,-0.2738,ENSG00000065183,WDR3,0,-111,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,111,0.2738,,False
NDUFA13,53,151,98,0.6944,0.4408,-0.2535,ENSG00000186010,NDUFA13,1,-98,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,98,0.2535,mitochondrial_function;oxidative_phosphorylation,True
USP19,172,262,90,0.3795,0.1918,-0.1877,ENSG00000172046,USP19,0,-90,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,90,0.1877,,False
NDUFB3,19,104,85,0.7789,0.5697,-0.2092,ENSG00000119013,NDUFB3,1,-85,moved_out_from_handcrafted,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,85,0.2092,mitochondrial_function;oxidative_phosphorylation,True
RALY,30,114,84,0.7581,0.5347,-0.2234,ENSG00000125970,RALY,1,-84,moved_out_from_handcrafted,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,84,0.2234,,False
PARP8,115,33,-82,0.5407,0.7399,0.1991,ENSG00000151883,PARP8,1,82,moved_in_by_DNABERT2,moved_in_by_DNABERT2,large_up_by_DNABERT2,DNABERT2_ranked_higher,82,0.1991,,False
ZNF326,116,187,71,0.535,0.3799,-0.1551,ENSG00000162664,ZNF326,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1551,,False
SAFB2,159,230,71,0.4087,0.2779,-0.1308,ENSG00000130254,SAFB2,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1308,,False
CIC,173,244,71,0.3782,0.2493,-0.1289,ENSG00000079432,CIC,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1289,,False
CHRNA1,89,19,-70,0.6176,0.7656,0.1479,ENSG00000138435,CHRNA1,0,70,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,70,0.1479,,False
FHOD1,179,249,70,0.3657,0.2351,-0.1305,ENSG00000135723,FHOD1,0,-70,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,70,0.1305,,False
NDUFA7,29,98,69,0.7594,0.587,-0.1724,ENSG00000267855,NDUFA7,1,-69,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,69,0.1724,mitochondrial_function;oxidative_phosphorylation,True
CXXC1,142,209,67,0.4602,0.3089,-0.1513,ENSG00000154832,CXXC1,0,-67,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,67,0.1513,,False
ARID5B,71,137,66,0.6593,0.4681,-0.1912,ENSG00000150347,ARID5B,1,-66,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,66,0.1912,,False
SOS2,214,148,-66,0.3016,0.4424,0.1408,ENSG00000100485,SOS2,1,66,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,66,0.1408,,False
