gene_symbol,true_label,phase9_gene_role,handcrafted_rank,dnabert2_rank,rank_improvement_by_dnabert2,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,top50_membership,top100_membership,curated_biological_themes,phase9_interpretation_to_use
ARF5,1,DNABERT2_moved_in_top100,101,97,4,0.5855,0.5889,0.0034,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
HCFC2,0,DNABERT2_moved_in_top100,102,92,10,0.5826,0.6086,0.0261,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
AFAP1L2,1,DNABERT2_moved_in_top100,104,86,18,0.5795,0.6336,0.0541,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
SCTR,1,DNABERT2_moved_in_top100,105,63,42,0.5795,0.6683,0.0889,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
TBC1D8,0,DNABERT2_moved_in_top100,106,65,41,0.5757,0.6665,0.0909,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
SLC38A11,1,DNABERT2_moved_in_top100,107,59,48,0.5754,0.6757,0.1004,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
GPAT4,1,DNABERT2_moved_in_top100,109,56,53,0.5723,0.6808,0.1085,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
TENT5C,1,DNABERT2_moved_in_top100,110,88,22,0.5615,0.6291,0.0676,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
TMEM106B,1,DNABERT2_moved_in_top100,113,91,22,0.551,0.609,0.058,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
PELO,1,DNABERT2_moved_in_top100,119,84,35,0.5269,0.6364,0.1095,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
NDUFA9,1,DNABERT2_moved_in_top100,125,89,36,0.5,0.6238,0.1238,outside_both,moved_in_by_DNABERT2,mitochondrial_function;oxidative_phosphorylation,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
PGBD5,0,DNABERT2_moved_in_top100,139,93,46,0.4643,0.606,0.1417,outside_both,moved_in_by_DNABERT2,,DNABERT-2 moved this gene into the top-100. Literature review is needed to determine whether this represents additional regulatory signal.
EBF2,1,DNABERT2_moved_in_top50,52,45,7,0.6967,0.7099,0.0132,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
MAGI1,1,DNABERT2_moved_in_top50,54,3,51,0.6936,0.8457,0.1521,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
TUBB4A,0,DNABERT2_moved_in_top50,57,25,32,0.6917,0.7552,0.0634,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
NCALD,1,DNABERT2_moved_in_top50,58,38,20,0.6916,0.7229,0.0313,moved_in_by_DNABERT2,shared,,DNABERT-2 moved this gene into the top-50. This gene should be checked for alternative regulatory or neurological/metabolic evidence.
