gene_symbol,true_label,rank_desc__DNABERT2_multimodal,rank_desc__Handcrafted_multimodal,dnabert2_minus_handcrafted_rank_delta,mean_oof_score__DNABERT2_multimodal,mean_oof_score__Handcrafted_multimodal,n_curated_pathways,curated_pathways,n_external_sets,external_sets
ABCC8,1,645,1212,-567,0.5938,0.3907,2,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca,0,
HK1,0,1210,1737,-527,0.3796,0.1836,1,Glucose_metabolism_transport,0,
NDUFS4,1,766,1112,-346,0.5486,0.4258,1,Mitochondrial_complex_I_OXPHOS,0,
NDUFV2,1,149,482,-333,0.7829,0.6492,1,Mitochondrial_complex_I_OXPHOS,0,
TP53INP1,1,303,586,-283,0.7243,0.6143,1,Known_T2D_GWAS_loci,0,
CDC123,1,61,274,-213,0.8236,0.7208,1,Known_T2D_GWAS_loci,0,
THADA,1,415,628,-213,0.6774,0.6005,1,Known_T2D_GWAS_loci,0,
NDUFA12,0,98,279,-181,0.806,0.7191,1,Mitochondrial_complex_I_OXPHOS,0,
SLC5A2,1,1514,1684,-170,0.2748,0.212,2,Glucose_metabolism_transport; Incretin_diabetes_pharmacology,0,
NEUROD1,1,1125,1278,-153,0.4155,0.3674,1,Beta_cell_function_development,0,
GRB14,0,1453,1600,-147,0.297,0.2445,2,Insulin_signalling; Known_T2D_GWAS_loci,0,
PAX4,0,1418,1563,-145,0.305,0.2614,1,Beta_cell_function_development,0,
NDUFB5,0,354,496,-142,0.701,0.6441,1,Mitochondrial_complex_I_OXPHOS,0,
NDUFA2,1,796,937,-141,0.5364,0.49,1,Mitochondrial_complex_I_OXPHOS,0,
NOTCH2,0,1384,1518,-134,0.3158,0.2829,1,Known_T2D_GWAS_loci,0,
MTNR1B,0,768,896,-128,0.5482,0.5011,2,Beta_cell_function_development; Known_T2D_GWAS_loci,0,
SLC5A1,1,1621,1743,-122,0.2428,0.1796,1,Glucose_metabolism_transport,0,
CAMK1D,1,1295,1416,-121,0.3501,0.3233,1,Known_T2D_GWAS_loci,0,
IGF2BP2,0,1579,1693,-114,0.2542,0.2085,1,Known_T2D_GWAS_loci,0,
NDUFB10,0,198,311,-113,0.7624,0.7095,1,Mitochondrial_complex_I_OXPHOS,0,
NDUFA10,0,456,565,-109,0.6611,0.6235,1,Mitochondrial_complex_I_OXPHOS,0,
SLC2A2,1,1209,1313,-104,0.3799,0.3571,1,Glucose_metabolism_transport,0,
ADCY5,0,1148,1252,-104,0.4057,0.3765,1,Known_T2D_GWAS_loci,0,
NDUFB9,0,1213,1311,-98,0.3773,0.3582,1,Mitochondrial_complex_I_OXPHOS,0,
NDUFA7,1,28,123,-95,0.8528,0.7788,1,Mitochondrial_complex_I_OXPHOS,0,
HNF1A,0,1569,1660,-91,0.2582,0.2231,1,Beta_cell_function_development,0,
KCNJ11,1,1186,1272,-86,0.3921,0.371,3,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca; Known_T2D_GWAS_loci,0,
TSPAN8,0,992,1071,-79,0.4653,0.4402,1,Known_T2D_GWAS_loci,0,
NDUFB7,1,413,484,-71,0.6778,0.6485,1,Mitochondrial_complex_I_OXPHOS,0,
INSR,1,395,463,-68,0.6838,0.6565,4,Glucose_metabolism_transport; Incretin_diabetes_pharmacology; Insulin_signalling; Known_T2D_GWAS_loci,0,
