sample_index,gene_symbol,true_label,mean_oof_score__DNABERT2_multimodal,mean_oof_score__Genomic_only_K3K4Basic,mean_oof_score__Handcrafted_multimodal,mean_oof_score__Protein_only_ProtBERT_SW,percentile_rank__DNABERT2_multimodal,percentile_rank__Genomic_only_K3K4Basic,percentile_rank__Handcrafted_multimodal,percentile_rank__Protein_only_ProtBERT_SW,rank_desc__DNABERT2_multimodal,rank_desc__Genomic_only_K3K4Basic,rank_desc__Handcrafted_multimodal,rank_desc__Protein_only_ProtBERT_SW,dnabert2_minus_handcrafted_rank_delta,dnabert2_minus_handcrafted_score_delta,dnabert2_minus_handcrafted_percentile_delta,dnabert2_moved_up,dnabert2_moved_down,consensus_rank,mean_percentile_rank,n_curated_pathways,curated_pathways,n_external_sets,external_sets,case_interpretation
41,RTN2,0,0.50982,0.52782,0.23731,0.27567,0.51967,0.64377,0.10138,0.13352,868,644,1623,1565,-755,0.27251,0.41828,True,False,1224,0.34958,0,,0,,Lower-priority / background candidate
364,RDH14,0,0.69359,0.57472,0.47516,0.45429,0.79446,0.77673,0.45706,0.4144,372,404,981,1058,-609,0.21843,0.3374,True,False,666,0.61066,0,,0,,Lower-priority / background candidate
1313,DGKB,1,0.68633,0.6299,0.47273,0.65209,0.7856,0.87867,0.45374,0.7518,388,220,987,449,-599,0.2136,0.33186,True,False,430,0.71745,0,,0,,Lower-priority / background candidate
913,DMRT2,1,0.55217,0.37416,0.34594,0.3412,0.58227,0.07091,0.25097,0.2338,755,1678,1353,1384,-598,0.20623,0.3313,True,False,1357,0.28449,0,,0,,Current-positive low-rank / possible model miss
235,OCIAD2,1,0.70629,0.67539,0.49569,0.45104,0.80886,0.94792,0.48864,0.41108,346,95,924,1064,-578,0.2106,0.32022,True,False,542,0.66413,0,,0,,Lower-priority / background candidate
430,ABCC8,1,0.59383,0.54601,0.39067,0.44768,0.64321,0.69972,0.32909,0.4072,645,543,1212,1071,-567,0.20316,0.31413,True,False,864,0.51981,2,Incretin_diabetes_pharmacology; Insulin_secretion_KATP_Ca,0,,Lower-priority / background candidate
1236,EIF4G3,0,0.74557,0.52013,0.53685,0.51599,0.86759,0.61994,0.55457,0.51468,240,687,805,877,-565,0.20872,0.31302,True,False,602,0.6392,0,,0,,Lower-priority / background candidate
714,PCDHGB4,1,0.64136,0.68532,0.44052,0.29672,0.71856,0.96177,0.40776,0.1662,509,70,1070,1506,-561,0.20084,0.3108,True,False,765,0.56357,0,,0,,Lower-priority / background candidate
1047,MAGEB6,0,0.53388,0.60542,0.34463,0.28873,0.55679,0.841,0.24709,0.15623,801,288,1360,1524,-559,0.18925,0.3097,True,False,998,0.45028,0,,0,,Lower-priority / background candidate
1420,APOE,0,0.53945,0.49511,0.35004,0.30648,0.56399,0.52964,0.25928,0.18061,788,850,1338,1480,-550,0.18941,0.30471,True,False,1157,0.38338,0,,0,,Lower-priority / background candidate
