Gene stable ID	Transcript stable ID	Gene name	Gene type	Chromosome/scaffold name	Strand	Transcript start (bp)	Transcript end (bp)
ENSG00000001626	ENST00000673785	CFTR	protein_coding	7	1	117287120	117548675
ENSG00000001626	ENST00000436097	CFTR	protein_coding	7	1	117287128	117322236
ENSG00000001626	ENST00000546407	CFTR	protein_coding	7	1	117465784	117504308
ENSG00000001626	ENST00000446805	CFTR	protein_coding	7	1	117478368	117530978
ENSG00000001626	ENST00000699596	CFTR	protein_coding	7	1	117479988	117559912
ENSG00000001626	ENST00000699597	CFTR	protein_coding	7	1	117479988	117559913
ENSG00000001626	ENST00000699598	CFTR	protein_coding	7	1	117479988	117668561
ENSG00000001626	ENST00000699599	CFTR	protein_coding	7	1	117479988	117668561
ENSG00000001626	ENST00000647720	CFTR	protein_coding	7	1	117479988	117668562
ENSG00000001626	ENST00000699600	CFTR	protein_coding	7	1	117479988	117668562
ENSG00000001626	ENST00000699585	CFTR	protein_coding	7	1	117479988	117668563
ENSG00000001626	ENST00000699601	CFTR	protein_coding	7	1	117479988	117668588
ENSG00000001626	ENST00000699602	CFTR	protein_coding	7	1	117479988	117668588
ENSG00000001626	ENST00000685018	CFTR	protein_coding	7	1	117479988	117668665
ENSG00000001626	ENST00000687278	CFTR	protein_coding	7	1	117479988	117668665
ENSG00000001626	ENST00000693465	CFTR	protein_coding	7	1	117480010	117507439
ENSG00000001626	ENST00000699603	CFTR	protein_coding	7	1	117480011	117481314
ENSG00000001626	ENST00000693480	CFTR	protein_coding	7	1	117480011	117482388
ENSG00000001626	ENST00000692802	CFTR	protein_coding	7	1	117480011	117483309
ENSG00000001626	ENST00000647639	CFTR	protein_coding	7	1	117480011	117511329
ENSG00000001626	ENST00000649850	CFTR	protein_coding	7	1	117480011	117529534
ENSG00000001626	ENST00000648260	CFTR	protein_coding	7	1	117480011	117627910
ENSG00000001626	ENST00000649406	CFTR	protein_coding	7	1	117480011	117627910
ENSG00000001626	ENST00000647978	CFTR	protein_coding	7	1	117480011	117668588
ENSG00000001626	ENST00000649781	CFTR	protein_coding	7	1	117480011	117668588
ENSG00000001626	ENST00000699604	CFTR	protein_coding	7	1	117480011	117668588
ENSG00000001626	ENST00000699605	CFTR	protein_coding	7	1	117480025	117668588
ENSG00000001626	ENST00000003084	CFTR	protein_coding	7	1	117480025	117668665
ENSG00000001626	ENST00000426809	CFTR	protein_coding	7	1	117480095	117667071
ENSG00000001626	ENST00000472848	CFTR	protein_coding	7	1	117559638	117587749
ENSG00000001626	ENST00000468795	CFTR	protein_coding	7	1	117611617	117627910
ENSG00000001626	ENST00000689011	CFTR	protein_coding	7	1	117614664	117668665
ENSG00000001626	ENST00000699606	CFTR	protein_coding	7	1	117650801	117668561
ENSG00000001626	ENST00000600166	CFTR	protein_coding	7	1	117652843	117715948
ENSG00000001626	ENST00000429014	CFTR	protein_coding	7	1	117689713	117715971
ENSG00000001626	ENST00000608965	CFTR	protein_coding	7	1	117710017	117715873
ENSG00000001626	ENST00000610149	CFTR	protein_coding	7	1	117710132	117715827
ENSG00000001626	ENST00000621535	CFTR	protein_coding	7	1	117713753	117715901
ENSG00000001626	ENST00000889206	CFTR	protein_coding	7	1	117479980	117668660
ENSG00000001626	ENST00000889207	CFTR	protein_coding	7	1	117479997	117668665
ENSG00000001626	ENST00000889208	CFTR	protein_coding	7	1	117480025	117668665
ENSG00000001626	ENST00000889209	CFTR	protein_coding	7	1	117480027	117668665
ENSG00000001626	ENST00000889210	CFTR	protein_coding	7	1	117480025	117668660
ENSG00000001626	ENST00000950799	CFTR	protein_coding	7	1	117479959	117668660
ENSG00000001629	ENST00000265742	ANKIB1	protein_coding	7	1	92245974	92401383
ENSG00000001629	ENST00000442183	ANKIB1	protein_coding	7	1	92294462	92307572
ENSG00000001629	ENST00000439883	ANKIB1	protein_coding	7	1	92307359	92343117
ENSG00000001629	ENST00000486698	ANKIB1	protein_coding	7	1	92319422	92319966
ENSG00000001629	ENST00000413588	ANKIB1	protein_coding	7	1	92343138	92362260
ENSG00000001629	ENST00000422095	ANKIB1	protein_coding	7	1	92371572	92399348
ENSG00000001629	ENST00000465883	ANKIB1	protein_coding	7	1	92395869	92397837
ENSG00000001629	ENST00000908966	ANKIB1	protein_coding	7	1	92245973	92401381
ENSG00000001629	ENST00000908967	ANKIB1	protein_coding	7	1	92246006	92400371
ENSG00000001629	ENST00000908968	ANKIB1	protein_coding	7	1	92246024	92399348
ENSG00000001629	ENST00000908969	ANKIB1	protein_coding	7	1	92246126	92399348
ENSG00000001629	ENST00000908970	ANKIB1	protein_coding	7	1	92246240	92399333
ENSG00000001629	ENST00000927528	ANKIB1	protein_coding	7	1	92245992	92402070
ENSG00000001629	ENST00000927529	ANKIB1	protein_coding	7	1	92245989	92401389
ENSG00000001629	ENST00000927530	ANKIB1	protein_coding	7	1	92245974	92400373
ENSG00000002726	ENST00000493429	AOC1	protein_coding	7	1	150824627	150861504
ENSG00000002726	ENST00000467291	AOC1	protein_coding	7	1	150826393	150861504
ENSG00000002726	ENST00000460213	AOC1	protein_coding	7	1	150852009	150857217
ENSG00000002726	ENST00000360937	AOC1	protein_coding	7	1	150852517	150861504
ENSG00000002726	ENST00000416793	AOC1	protein_coding	7	1	150852515	150861289
ENSG00000002726	ENST00000483043	AOC1	protein_coding	7	1	150852519	150857482
ENSG00000002726	ENST00000480582	AOC1	protein_coding	7	1	150857933	150861219
ENSG00000002726	ENST00000863992	AOC1	protein_coding	7	1	150852513	150861289
ENSG00000002726	ENST00000863993	AOC1	protein_coding	7	1	150852515	150861289
ENSG00000002726	ENST00000863994	AOC1	protein_coding	7	1	150852522	150861289
ENSG00000002726	ENST00000941408	AOC1	protein_coding	7	1	150826405	150861288
ENSG00000002726	ENST00000941409	AOC1	protein_coding	7	1	150826411	150861290
ENSG00000002822	ENST00000481633	MAD1L1	protein_coding	7	-1	1815793	1872756
ENSG00000002822	ENST00000402746	MAD1L1	protein_coding	7	-1	1815794	2232945
ENSG00000002822	ENST00000399654	MAD1L1	protein_coding	7	-1	1815794	2232974
ENSG00000002822	ENST00000406869	MAD1L1	protein_coding	7	-1	1815794	2233243
ENSG00000002822	ENST00000468372	MAD1L1	protein_coding	7	-1	1815795	1817085
ENSG00000002822	ENST00000496548	MAD1L1	protein_coding	7	-1	1815795	1829664
ENSG00000002822	ENST00000265854	MAD1L1	protein_coding	7	-1	1815795	2232945
ENSG00000002822	ENST00000477172	MAD1L1	protein_coding	7	-1	1815816	1817499
ENSG00000002822	ENST00000450235	MAD1L1	protein_coding	7	-1	1816082	1980791
ENSG00000002822	ENST00000437877	MAD1L1	protein_coding	7	-1	1898200	1940549
ENSG00000002822	ENST00000438959	MAD1L1	protein_coding	7	-1	1957629	2080013
ENSG00000002822	ENST00000444373	MAD1L1	protein_coding	7	-1	1980486	2109601
ENSG00000002822	ENST00000421113	MAD1L1	protein_coding	7	-1	2014506	2107708
ENSG00000002822	ENST00000483165	MAD1L1	protein_coding	7	-1	2069194	2089251
ENSG00000002822	ENST00000491858	MAD1L1	protein_coding	7	-1	2069194	2175385
