Gene stable ID	Transcript stable ID	Gene name	Gene type	Chromosome/scaffold name	Strand	Transcript start (bp)	Transcript end (bp)
ENSG00000001626	ENST00000003084	CFTR	protein_coding	7	1	117480025	117668665
ENSG00000001629	ENST00000265742	ANKIB1	protein_coding	7	1	92245974	92401383
ENSG00000002726	ENST00000360937	AOC1	protein_coding	7	1	150852517	150861504
ENSG00000002822	ENST00000265854	MAD1L1	protein_coding	7	-1	1815795	2232945
ENSG00000002919	ENST00000359238	SNX11	protein_coding	17	1	48107766	48123601
ENSG00000003393	ENST00000264276	ALS2	protein_coding	2	-1	201700267	201780933
ENSG00000004059	ENST00000000233	ARF5	protein_coding	7	1	127588411	127591700
ENSG00000004399	ENST00000324093	PLXND1	protein_coding	3	-1	129555214	129606676
ENSG00000004534	ENST00000266022	RBM6	protein_coding	3	1	49940150	50077249
ENSG00000004779	ENST00000007516	NDUFAB1	protein_coding	16	-1	23581014	23596316
ENSG00000004948	ENST00000426151	CALCR	protein_coding	7	-1	93424486	93574724
ENSG00000006071	ENST00000389817	ABCC8	protein_coding	11	-1	17392885	17476845
ENSG00000006468	ENST00000430479	ETV1	protein_coding	7	-1	13891229	13989666
ENSG00000006704	ENST00000424337	GTF2IRD1	protein_coding	7	1	74453906	74602605
ENSG00000007171	ENST00000313735	NOS2	protein_coding	17	-1	27756766	27800529
ENSG00000007314	ENST00000435607	SCN4A	protein_coding	17	-1	63938554	63972918
ENSG00000008083	ENST00000341776	JARID2	protein_coding	6	1	15246069	15522042
ENSG00000008086	ENST00000623535	CDKL5	protein_coding	X	1	18425608	18640196
ENSG00000008196	ENST00000393655	TFAP2B	protein_coding	6	1	50818871	50847619
ENSG00000008710	ENST00000262304	PKD1	protein_coding	16	-1	2088708	2135898
ENSG00000009335	ENST00000348165	UBE3C	protein_coding	7	1	157138926	157269370
ENSG00000009413	ENST00000368802	REV3L	protein_coding	6	-1	111299033	111483218
ENSG00000009950	ENST00000313375	MLXIPL	protein_coding	7	-1	73593202	73624522
ENSG00000010310	ENST00000590918	GIPR	protein_coding	19	1	45668221	45683722
ENSG00000010818	ENST00000367603	HIVEP2	protein_coding	6	-1	142751469	142945176
ENSG00000011028	ENST00000303375	MRC2	protein_coding	17	1	62627670	62693597
ENSG00000011275	ENST00000389902	RNF216	protein_coding	7	-1	5620047	5781663
ENSG00000011523	ENST00000377990	CEP68	protein_coding	2	1	65056416	65087004
ENSG00000012504	ENST00000392986	NR1H4	protein_coding	12	1	100473866	100564414
ENSG00000015520	ENST00000381160	NPC1L1	protein_coding	7	-1	44512535	44541330
