gene_symbol_upper,handcrafted_rank,dnabert2_rank,rank_delta_dnabert2_minus_handcrafted,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,gene_id,gene_symbol,true_label,rank_improvement_by_dnabert2,top50_membership,top100_membership,rank_shift_category,rank_direction,abs_rank_shift,abs_score_shift,curated_biological_themes,has_curated_theme_support
WDR3,79,190,111,0.6409,0.3671,-0.2738,ENSG00000065183,WDR3,0,-111,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,111,0.2738,,False
NDUFA13,53,151,98,0.6944,0.4408,-0.2535,ENSG00000186010,NDUFA13,1,-98,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,98,0.2535,mitochondrial_function;oxidative_phosphorylation,True
USP19,172,262,90,0.3795,0.1918,-0.1877,ENSG00000172046,USP19,0,-90,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,90,0.1877,,False
NDUFB3,19,104,85,0.7789,0.5697,-0.2092,ENSG00000119013,NDUFB3,1,-85,moved_out_from_handcrafted,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,85,0.2092,mitochondrial_function;oxidative_phosphorylation,True
RALY,30,114,84,0.7581,0.5347,-0.2234,ENSG00000125970,RALY,1,-84,moved_out_from_handcrafted,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,84,0.2234,,False
ZNF326,116,187,71,0.535,0.3799,-0.1551,ENSG00000162664,ZNF326,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1551,,False
SAFB2,159,230,71,0.4087,0.2779,-0.1308,ENSG00000130254,SAFB2,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1308,,False
CIC,173,244,71,0.3782,0.2493,-0.1289,ENSG00000079432,CIC,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1289,,False
FHOD1,179,249,70,0.3657,0.2351,-0.1305,ENSG00000135723,FHOD1,0,-70,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,70,0.1305,,False
NDUFA7,29,98,69,0.7594,0.587,-0.1724,ENSG00000267855,NDUFA7,1,-69,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,69,0.1724,mitochondrial_function;oxidative_phosphorylation,True
CXXC1,142,209,67,0.4602,0.3089,-0.1513,ENSG00000154832,CXXC1,0,-67,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,67,0.1513,,False
ARID5B,71,137,66,0.6593,0.4681,-0.1912,ENSG00000150347,ARID5B,1,-66,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,66,0.1912,,False
SHROOM3,170,234,64,0.3812,0.2744,-0.1068,ENSG00000138771,SHROOM3,1,-64,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,64,0.1068,,False
TMEM87A,128,191,63,0.4942,0.3668,-0.1274,ENSG00000103978,TMEM87A,0,-63,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,63,0.1274,,False
MYBL2,80,140,60,0.6387,0.4651,-0.1736,ENSG00000101057,MYBL2,1,-60,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,60,0.1736,,False
