gene_id,gene_symbol,gene_name,label,dataset_role,ensembl_gene_id,ensembl_gene_name,gene_type,chromosome_or_scaffold,gene_start_bp,gene_end_bp,strand,uniprot_accession,uniprot_entry_name,sequence_length_fasta,coordinate_source,coordinate_scope,coordinate_master_version,representative_transcript_id,representative_transcript_rule,representative_transcript_priority,transcript_gene_name,transcript_gene_type,transcript_chromosome,transcript_strand,transcript_start_bp,transcript_end_bp,representative_tss_bp,representative_tss_rule,chromosome_match_gene_vs_transcript,strand_match_gene_vs_transcript,representative_tss_master_version,representative_transcript_selection_strategy
ENSG00000161618,ALDH16A1,ALDH16A1,0,negative,ENSG00000161618,ALDH16A1,protein_coding,19,49453146.0,49471052.0,1.0,Q8IZ83,A16A1_HUMAN,802.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000293350,MANE_Select,1,ALDH16A1,protein_coding,19,1,49453225,49471050,49453225,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000224420,ADM5,ADM5,0,negative,ENSG00000224420,ADM5,protein_coding,19,49688953.0,49690575.0,1.0,C9JUS6,ADM5_HUMAN,153.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000420022,MANE_Select,1,ADM5,protein_coding,19,1,49689594,49690575,49689594,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000106113,CRHR2,corticotropin releasing hormone receptor 2,1,positive,ENSG00000106113,CRHR2,protein_coding,7,30651444.0,30700129.0,-1.0,Q13324,CRFR2_HUMAN,411.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000471646,MANE_Select,1,CRHR2,protein_coding,7,-1,30651942,30682456,30682456,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000165392,WRN,WRN RecQ like helicase,1,positive,ENSG00000165392,WRN,protein_coding,8,31033779.0,31176138.0,1.0,Q14191,WRN_HUMAN,1432.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000298139,MANE_Select,1,WRN,protein_coding,8,1,31033810,31176138,31033810,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000131196,NFATC1,nuclear factor of activated T cells 1,1,positive,ENSG00000131196,NFATC1,protein_coding,18,79395856.0,79529325.0,1.0,O95644,NFAC1_HUMAN,943.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000427363,MANE_Select,1,NFATC1,protein_coding,18,1,79395930,79529323,79395930,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000141338,ABCA8,ABCA8,0,negative,ENSG00000141338,ABCA8,protein_coding,17,68866052.0,68955470.0,-1.0,O94911,ABCA8_HUMAN,1621.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000586539,MANE_Select,1,ABCA8,protein_coding,17,-1,68867289,68955392,68955392,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000153250,RBMS1,RNA binding motif single stranded interacting protein 1,1,positive,ENSG00000153250,RBMS1,protein_coding,2,160272151.0,160494100.0,-1.0,P29558,RBMS1_HUMAN,406.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000348849,MANE_Select,1,RBMS1,protein_coding,2,-1,160272151,160493807,160493807,TSS_equals_transcript_end_for_negative_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000112701,SENP6,SUMO specific peptidase 6,1,positive,ENSG00000112701,SENP6,protein_coding,6,75601509.0,75718281.0,1.0,Q9GZR1,SENP6_HUMAN,1112.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000447266,MANE_Select,1,SENP6,protein_coding,6,1,75601880,75718281,75601880,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000141219,MTNAP1,MTNAP1,0,negative,ENSG00000141219,MTNAP1,protein_coding,17,73232233.0,73248962.0,1.0,Q9BSJ5,CQ080_HUMAN,609.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000535032,MANE_Select,1,MTNAP1,protein_coding,17,1,73232433,73248959,73232433,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
ENSG00000278558,TMEM191B,TMEM191B,0,negative,ENSG00000278558,TMEM191B,protein_coding,22,18527802.0,18530573.0,1.0,P0C7N4,T191B_HUMAN,346.0,Ensembl BioMart,"Primary chromosomes only: 1-22, X, Y, MT",Gene_Coordinate_Master_v1,ENST00000612978,MANE_Select,1,TMEM191B,protein_coding,22,1,18527802,18530573,18527802,TSS_equals_transcript_start_for_positive_strand,True,True,Representative_TSS_Master_PrimaryOnly_v1,MANE_Select_preferred_else_Ensembl_Canonical
