sample_index,label,distance_to_positive_centroid,gene_symbol,hardness_rank,negative_type
1573,0,17.718964,IGFLR1,1,Hard
1745,0,18.173046,ANKRD17,2,Hard
665,0,19.343904,AVEN,3,Hard
975,0,19.39091,CDHR1,4,Hard
56,0,19.513464,FOXRED2,5,Hard
638,0,19.560436,PAGE3,6,Hard
1530,0,19.695122,QRICH2,7,Hard
324,0,19.992167,TSPAN8,8,Hard
517,0,20.12493,SLC49A3,9,Hard
1236,0,20.366898,EIF4G3,10,Hard
688,0,20.397282,CDKN2B,11,Hard
187,0,20.462215,ZFAND3,12,Hard
1283,0,20.61189,BCL11B,13,Hard
950,0,20.803108,HNF4A,14,Hard
1790,0,21.007683,PHKB,15,Hard
1378,0,21.034367,RSPH10B2,16,Hard
274,0,21.10605,HDHD5,17,Hard
253,0,21.11738,JADE2,18,Hard
436,0,21.118538,ALG14,19,Hard
177,0,21.157099,TNFRSF6B,20,Hard
1256,0,21.393215,GLB1L,21,Hard
354,0,21.434587,SMAD3,22,Hard
601,0,21.502562,TCAF1,23,Hard
145,0,21.561047,ATP8B4,24,Hard
976,0,21.601803,GRB14,25,Hard
761,0,21.604162,TLL2,26,Hard
3,0,21.740572,CFAP300,27,Hard
128,0,21.83973,CLNS1A,28,Hard
1652,0,21.844479,FHIT,29,Hard
318,0,21.903303,RSAD1,30,Hard
1309,0,21.949198,SYTL1,31,Hard
1247,0,21.957829,ALOXE3,32,Hard
1166,0,22.09042,SNRNP27,33,Hard
273,0,22.131298,NRAP,34,Hard
1401,0,22.13617,SF3B4,35,Hard
1761,0,22.170027,JPT2,36,Hard
660,0,22.228746,CIMIP3,37,Hard
155,0,22.237974,TMEM121,38,Hard
293,0,22.27479,PRPF40A,39,Hard
361,0,22.328783,SAG,40,Hard
1216,0,22.36013,COL6A1,41,Hard
1572,0,22.483776,SDK2,42,Hard
949,0,22.523952,CCDC127,43,Hard
343,0,22.621424,VEGFA,44,Hard
1398,0,22.646774,APOBR,45,Hard
1683,0,22.706026,ANKRD55,46,Hard
53,0,22.770973,PLEKHM2,47,Hard
486,0,22.815283,ANGPTL4,48,Hard
236,0,22.815506,ZCCHC9,49,Hard
695,0,22.82515,PDGFC,50,Hard
673,0,22.92747,IL13RA1,51,Hard
122,0,22.940416,ADA,52,Hard
526,0,22.95674,ACE,53,Hard
1449,0,22.958088,SPG11,54,Hard
538,0,23.048697,C1GALT1,55,Hard
880,0,23.076818,BCL2,56,Hard
1207,0,23.112553,PARD3B,57,Hard
1334,0,23.12394,OR6C75,58,Hard
448,0,23.139435,STOX2,59,Hard
1524,0,23.222893,SETD5,60,Hard
640,0,23.266047,CST9L,61,Hard
747,0,23.279465,MARCHF10,62,Hard
350,0,23.310387,MOB1B,63,Hard
460,0,23.336962,CA10,64,Hard
1014,0,23.459854,LRRIQ1,65,Hard
328,0,23.528025,NDUFB4,66,Hard
1516,0,23.546011,NOA1,67,Hard
931,0,23.653698,PTGS1,68,Hard
159,0,23.657804,ATXN7L3,69,Hard
528,0,23.663801,ITIH6,70,Hard
276,0,23.668762,CCDC8,71,Hard
1779,0,23.696222,CHST2,72,Hard
1566,0,23.733883,PRTG,73,Hard
112,0,23.76581,ZC3H4,74,Hard
96,0,23.81557,HMHB1,75,Hard
1758,0,23.83613,TEAD2,76,Hard
1330,0,23.836891,ERF,77,Hard
1423,0,23.92204,NPC1L1,78,Hard
147,0,23.997717,UHRF1,79,Hard
139,0,24.033731,IL12B,80,Hard
61,0,24.09844,ZFP92,81,Hard
511,0,24.09927,ACTL7A,82,Hard
1348,0,24.118322,NSD1,83,Hard
1088,0,24.228653,RASSF9,84,Hard
75,0,24.23677,CHPF2,85,Hard
1550,0,24.269997,PIAS1,86,Hard
984,0,24.287283,LAMC1,87,Hard
506,0,24.297138,IL17REL,88,Hard
417,0,24.297752,REL,89,Hard
596,0,24.299284,DOCK9,90,Hard
1497,0,24.319933,RGMA,91,Hard
1597,0,24.323116,KLF14,92,Hard
1406,0,24.347939,LSG1,93,Hard
125,0,24.391632,SPTBN4,94,Hard
77,0,24.39569,EXOSC10,95,Hard
48,0,24.407663,YEATS2,96,Hard
1000,0,24.418423,BMF,97,Hard
1634,0,24.500359,NXPH3,98,Hard
1547,0,24.509893,C1orf167,99,Hard
337,0,24.5222,PGBD5,100,Hard
387,0,24.58268,APOA4,101,Hard
1605,0,24.592607,ADM5,102,Hard
418,0,24.600908,KHDC1,103,Hard
1424,0,24.615602,TBC1D3D,104,Hard
1322,0,24.666815,LRR1,105,Hard
1306,0,24.716106,ADRB1,106,Hard
988,0,24.722548,PTK6,107,Hard
1050,0,24.725672,FAM184A,108,Hard
509,0,24.777744,GLP1R,109,Hard
1209,0,24.778728,CGRRF1,110,Hard
32,0,24.802826,UBQLN4,111,Hard
544,0,24.81183,IFNW1,112,Hard
1125,0,24.814705,SELL,113,Hard
1740,0,24.815445,ABCD2,114,Hard
1476,0,24.816431,CGNL1,115,Hard
701,0,24.852531,SIPA1,116,Hard
1789,0,24.864897,OR2W3,117,Hard
382,0,24.891361,ASGR2,118,Hard
1384,0,24.891945,FAT3,119,Hard
1640,0,24.935747,RPAP1,120,Hard
167,0,24.949076,MFSD6L,121,Hard
1341,0,24.995155,GP2,122,Hard
243,0,25.008913,PLCL2,123,Hard
1123,0,25.021746,UNC5C,124,Hard
1305,0,25.037905,ZFPM2,125,Hard
1717,0,25.050032,KRT81,126,Hard
1777,0,25.058205,VMA21,127,Hard
678,0,25.080523,TOMM7,128,Hard
654,0,25.128311,KLLN,129,Hard
1560,0,25.144571,ZFP64,130,Hard
735,0,25.162321,JAKMIP1,131,Hard
1233,0,25.180164,NFAT5,132,Hard
1542,0,25.202732,UBALD2,133,Hard
1240,0,25.210289,MRC2,134,Hard
625,0,25.237387,PPP4R3A,135,Hard
1499,0,25.240547,BRICD5,136,Hard
0,0,25.280144,PSENEN,137,Hard
24,0,25.287893,ENPP3,138,Hard
624,0,25.352886,KIF26A,139,Hard
844,0,25.358728,CCP110,140,Hard
1153,0,25.392244,VRTN,141,Hard
1386,0,25.40264,CCDC92,142,Hard
458,0,25.424578,CHAF1A,143,Hard
750,0,25.452808,MYC,144,Hard
803,0,25.460403,KL,145,Hard
62,0,25.46841,ADAMTS18,146,Hard
1163,0,25.496416,ZNF746,147,Hard
1115,0,25.514166,APLP2,148,Hard
290,0,25.532484,LTBP3,149,Hard
1642,0,25.5562,SHROOM3,150,Hard
