gene_id,gene_symbol,true_label,Protein_only_ProtBERT_SW_score,Genomic_only_K3K4Basic_score,Multimodal_handcrafted_score,Multimodal_DNABERT2_score,gene_symbol_upper,Protein_only_ProtBERT_SW_pred_0p5,Protein_only_ProtBERT_SW_error_0p5,Genomic_only_K3K4Basic_pred_0p5,Genomic_only_K3K4Basic_error_0p5,Multimodal_handcrafted_pred_0p5,Multimodal_handcrafted_error_0p5,Multimodal_DNABERT2_pred_0p5,Multimodal_DNABERT2_error_0p5,base_model,new_model,base_correct,new_correct,comparison_group,score_delta_new_minus_base
ENSG00000123146,ADGRE5,0,0.5544739303140973,0.5,0.5327962037490201,0.5191026245625255,ADGRE5,1,FP,1,FP,1,FP,1,FP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,-0.03537130575157177
ENSG00000172594,SMPDL3A,0,0.6830315915074686,0.6372624913195291,0.6903664763527831,0.5702157935000706,SMPDL3A,1,FP,1,FP,1,FP,1,FP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,-0.11281579800739805
ENSG00000173320,STOX2,0,0.5691319971874067,0.3865743055524985,0.4525647122231421,0.5724833561141248,STOX2,1,FP,0,TN,0,TN,1,FP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,0.0033513589267181176
ENSG00000111727,HCFC2,0,0.6108160931356124,0.5274582492602244,0.5825827770884968,0.6086422929663139,HCFC2,1,FP,1,FP,1,FP,1,FP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,-0.0021738001692984676
ENSG00000205356,TECPR1,1,0.4390374712445002,0.4582044036384721,0.3575867329641281,0.3934714561896162,TECPR1,0,FN,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,-0.045566015054884
ENSG00000078237,TIGAR,1,0.3218770932275368,0.4107685196436881,0.3410250863696386,0.4492596926560911,TIGAR,0,FN,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,0.1273825994285543
ENSG00000068796,KIF2A,0,0.6763378566007207,0.6133725740305362,0.6865806518553479,0.6547982987674332,KIF2A,1,FP,1,FP,1,FP,1,FP,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,-0.021539557833287426
ENSG00000152254,G6PC2,1,0.4074978339952077,0.3960168744806734,0.2937352405094329,0.3712430971671117,G6PC2,0,FN,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,-0.036254736828096046
ENSG00000129003,VPS13C,1,0.2456048436757943,0.4931547877526578,0.3186043278965125,0.3450213026868532,VPS13C,0,FN,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,0.09941645901105892
ENSG00000164530,PI16,1,0.2296617327200958,0.4768283446552798,0.2320076523721614,0.2296715614068667,PI16,0,FN,0,FN,0,FN,0,FN,Protein_only_ProtBERT_SW,Multimodal_DNABERT2,False,False,wrong_by_both,9.828686770907424e-06
