gene_id,gene_symbol,true_label,Protein_only_ProtBERT_SW_score,Genomic_only_K3K4Basic_score,Multimodal_handcrafted_score,Multimodal_DNABERT2_score,gene_symbol_upper,Protein_only_ProtBERT_SW_pred_0p5,Protein_only_ProtBERT_SW_error_0p5,Genomic_only_K3K4Basic_pred_0p5,Genomic_only_K3K4Basic_error_0p5,Multimodal_handcrafted_pred_0p5,Multimodal_handcrafted_error_0p5,Multimodal_DNABERT2_pred_0p5,Multimodal_DNABERT2_error_0p5,base_model,new_model,base_correct,new_correct,comparison_group,score_delta_new_minus_base
ENSG00000123146,ADGRE5,0,0.5544739303140973,0.5,0.5327962037490201,0.5191026245625255,ADGRE5,1,FP,1,FP,1,FP,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,-0.013693579186494609
ENSG00000172594,SMPDL3A,0,0.6830315915074686,0.6372624913195291,0.6903664763527831,0.5702157935000706,SMPDL3A,1,FP,1,FP,1,FP,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,-0.12015068285271258
ENSG00000111727,HCFC2,0,0.6108160931356124,0.5274582492602244,0.5825827770884968,0.6086422929663139,HCFC2,1,FP,1,FP,1,FP,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.026059515877817074
ENSG00000205356,TECPR1,1,0.4390374712445002,0.4582044036384721,0.3575867329641281,0.3934714561896162,TECPR1,0,FN,0,FN,0,FN,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.035884723225488135
ENSG00000156219,ART3,1,0.6193076352627219,0.3776127097131166,0.3526946383327899,0.3990613861173619,ART3,1,TP,0,FN,0,FN,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.046366747784572004
ENSG00000078237,TIGAR,1,0.3218770932275368,0.4107685196436881,0.3410250863696386,0.4492596926560911,TIGAR,0,FN,0,FN,0,FN,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.10823460628645254
ENSG00000157212,PAXIP1,0,0.4873443429471905,0.6637530650994554,0.7235852833494757,0.7867687549779175,PAXIP1,0,TN,1,FP,1,FP,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.06318347162844185
ENSG00000068796,KIF2A,0,0.6763378566007207,0.6133725740305362,0.6865806518553479,0.6547982987674332,KIF2A,1,FP,1,FP,1,FP,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,-0.03178235308791466
ENSG00000152254,G6PC2,1,0.4074978339952077,0.3960168744806734,0.2937352405094329,0.3712430971671117,G6PC2,0,FN,0,FN,0,FN,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.07750785665767879
ENSG00000129003,VPS13C,1,0.2456048436757943,0.4931547877526578,0.3186043278965125,0.3450213026868532,VPS13C,0,FN,0,FN,0,FN,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.02641697479034072
ENSG00000164530,PI16,1,0.2296617327200958,0.4768283446552798,0.2320076523721614,0.2296715614068667,PI16,0,FN,0,FN,0,FN,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,-0.0023360909652946904
ENSG00000138435,CHRNA1,0,0.7495348297278424,0.3336360698474078,0.6176187841475461,0.7655666524268824,CHRNA1,1,FP,0,TN,1,FP,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.14794786827933626
ENSG00000105372,RPS19,0,0.5931791588092795,0.4834523543142872,0.6231937370557187,0.5308544449881887,RPS19,1,FP,0,TN,1,FP,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,-0.09233929206753
ENSG00000187240,DYNC2H1,1,0.2566970152790263,0.3201079836260701,0.2170032942016062,0.278477193888538,DYNC2H1,0,FN,0,FN,0,FN,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,0.06147389968693179
ENSG00000196511,TPK1,0,0.6295031348011053,0.4396563614171829,0.5336622663122481,0.5260194707411022,TPK1,1,FP,0,TN,1,FP,1,FP,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,-0.007642795571145888
ENSG00000241878,PISD,1,0.5789191580970285,0.3505732778480021,0.4415446119930278,0.3953800216554969,PISD,1,TP,0,FN,0,FN,0,FN,Multimodal_handcrafted,Multimodal_DNABERT2,False,False,wrong_by_both,-0.0461645903375309
