movement_group,gene_symbol,true_label,handcrafted_rank,dnabert2_rank,rank_improvement_by_dnabert2,handcrafted_score,dnabert2_score,curated_biological_themes
moved_out_top50,NDUFB3,1,19,104,-85,0.7789,0.5697,mitochondrial_function;oxidative_phosphorylation
moved_out_top50,SLC5A1,1,20,74,-54,0.7724,0.6508,glucose_metabolism;known_t2d_gwas_or_monogenic
moved_out_top50,GATD3,0,23,77,-54,0.7709,0.6461,
moved_out_top50,HMG20A,1,26,62,-36,0.7633,0.6699,
moved_out_top50,NDUFA7,1,29,98,-69,0.7594,0.587,mitochondrial_function;oxidative_phosphorylation
moved_out_top50,RALY,1,30,114,-84,0.7581,0.5347,
moved_out_top50,NDUFB1,1,37,55,-18,0.7382,0.6809,mitochondrial_function;oxidative_phosphorylation
moved_out_top50,GRM7,0,38,61,-23,0.732,0.6729,
moved_out_top50,DPP4,1,39,57,-18,0.7289,0.6765,beta_cell_biology;known_t2d_gwas_or_monogenic
moved_out_top50,EIF4E2,0,42,64,-22,0.7182,0.6671,
moved_out_top50,MGAM,1,46,82,-36,0.7106,0.6412,
moved_in_top50,MAGI1,1,54,3,51,0.6936,0.8457,
moved_in_top50,CHRNA1,0,89,19,70,0.6176,0.7656,
moved_in_top50,TUBB4A,0,57,25,32,0.6917,0.7552,
moved_in_top50,NSD3,0,67,29,38,0.6688,0.7505,
moved_in_top50,PARP8,1,115,33,82,0.5407,0.7399,
moved_in_top50,IGSF21,1,88,35,53,0.6208,0.7366,
moved_in_top50,GLRA1,1,70,37,33,0.6611,0.7235,
moved_in_top50,NCALD,1,58,38,20,0.6916,0.7229,
moved_in_top50,EBF2,1,52,45,7,0.6967,0.7099,
moved_in_top50,DDC,1,77,46,31,0.645,0.7036,
moved_in_top50,GALNT3,1,61,48,13,0.6852,0.6968,
