sample_index,gene_symbol,label,split_origin,protein_embedding_l2_norm,protein_embedding_mean,protein_embedding_std,hand_genomic_l2_norm,hand_genomic_mean,hand_genomic_std,dnabert2_genomic_l2_norm,dnabert2_genomic_mean,dnabert2_genomic_std,protein_zero_fraction,hand_genomic_zero_fraction,dnabert2_genomic_zero_fraction,protein_sequence_length,has_sequence,gene_symbol_length
0,PSENEN,0,train,2.9495313,0.001311049,0.092163526,3309.822213312757,21.6408467286214,174.08023898784865,2.5535696,0.0024573554,0.09211124,0.0,0.0028089887640449437,0.0,,,6
1,PI16,1,train,3.3753326,0.001937308,0.10546135,3315.703063519478,21.808686368374143,174.37340883439657,2.5400078,0.002834162,0.091610804,0.0,0.0056179775280898875,0.0,,,4
2,GPA33,0,train,3.5115652,0.0018979989,0.10971999,3310.2187330757306,21.632858594343194,174.1024089819617,2.2297819,0.002928938,0.08040699,0.0,0.0028089887640449437,0.0,,,5
3,CFAP300,0,train,4.542591,0.0016060314,0.14194687,3312.4684318296013,21.652476380249567,174.2201220235951,2.6810026,0.0023954955,0.096712686,0.0,0.0028089887640449437,0.0,,,7
4,KCNK16,1,train,3.2140396,0.0013173001,0.1004301,3311.460835010872,21.90355005705205,174.134911068384,2.610043,0.0023851122,0.09415161,0.0,0.008426966292134831,0.0,,,6
5,TM6SF2,1,train,3.567683,0.0013648691,0.11148173,3325.3657676646985,22.046114449149353,174.85973829265072,2.5405917,0.0025871154,0.0916392,0.0,0.0056179775280898875,0.0,,,6
6,OSGIN2,0,train,3.4317222,0.0006908661,0.10723909,3312.0203593153733,21.528148385716328,174.21160034197058,2.641845,0.0022946873,0.09530175,0.0,0.0056179775280898875,0.0,,,6
7,MOSMO,0,train,3.3158174,0.0022356918,0.10359518,3313.245199839952,21.484957821068605,174.28234018224614,2.4725945,0.0024657012,0.089187995,0.0,0.011235955056179775,0.0,,,5
8,IBA57,0,train,3.7817762,0.0013804287,0.11817244,3310.287618280069,21.340172416611157,174.14220476006537,2.4951181,0.0024101024,0.09000256,0.0,0.016853932584269662,0.0,,,5
9,STEAP1,1,train,4.6359754,0.002157593,0.14485818,3342.0366336986826,22.117022688376196,175.74134260661944,2.5736406,0.0029987686,0.092819825,0.0,0.0028089887640449437,0.0,,,6
10,UGT3A1,0,train,3.4336667,0.0017207381,0.10728829,3327.0907289176366,22.09442644878192,174.9457897442874,2.4545486,0.0029083556,0.088523135,0.0,0.008426966292134831,0.0,,,6
11,GTF2IRD2,1,train,4.2430787,0.0016254367,0.13258624,3309.1089238163,21.55908153005746,174.05229104937766,2.3955019,0.0029039762,0.08639144,0.0,0.0056179775280898875,0.0,,,8
12,SNX2,0,train,4.996797,0.0017017401,0.15614061,3340.3906220429994,21.25926033360011,175.75929273990056,2.5834124,0.0021920123,0.093195096,0.0,0.03089887640449438,0.0,,,4
13,BNC1,0,train,2.6791582,0.0009808254,0.08371795,3316.0707439340085,22.073021171640015,174.35978782196298,2.5440927,0.0027411897,0.0917611,0.0,0.0,0.0,,,4
14,KCNK17,1,train,2.940446,0.0007540176,0.091885835,3313.1682450222825,21.855660389718736,174.2321302768078,2.5417259,0.0027872839,0.091674276,0.0,0.011235955056179775,0.0,,,6
15,VPS33A,0,train,2.8731601,0.0013890244,0.08977552,3313.816325566253,21.86421538314013,174.26567446863854,2.6247265,0.0025261391,0.09467798,0.0,0.0028089887640449437,0.0,,,6
16,SMIM39,0,train,4.201311,0.0014232446,0.13128327,3312.413251555369,21.541884642808157,174.2308841611768,2.4870136,0.002452637,0.08970885,0.0,0.0056179775280898875,0.0,,,6
17,UBE3B,0,train,3.4593923,0.0011419513,0.108099975,3335.2160173407983,22.187075655508274,175.36814463380261,2.524589,0.002945155,0.09105064,0.0,0.0056179775280898875,0.0,,,5
