sample_index,gene_symbol,true_label,mean_oof_score__DNABERT2_multimodal,mean_oof_score__Genomic_only_K3K4Basic,mean_oof_score__Handcrafted_multimodal,mean_oof_score__Protein_only_ProtBERT_SW,percentile_rank__DNABERT2_multimodal,percentile_rank__Genomic_only_K3K4Basic,percentile_rank__Handcrafted_multimodal,percentile_rank__Protein_only_ProtBERT_SW,rank_desc__DNABERT2_multimodal,rank_desc__Genomic_only_K3K4Basic,rank_desc__Handcrafted_multimodal,rank_desc__Protein_only_ProtBERT_SW,dnabert2_minus_handcrafted_rank_delta,dnabert2_minus_handcrafted_score_delta,dnabert2_minus_handcrafted_percentile_delta,dnabert2_moved_up,dnabert2_moved_down,consensus_rank,mean_percentile_rank,n_curated_pathways,curated_pathways,n_external_sets,external_sets,case_interpretation
0,PSENEN,0,0.44969,0.48251,0.57476,0.54738,0.4277,0.47258,0.61496,0.56676,1034,953,696,783,338,-0.12507,-0.18726,False,True,862,0.5205,0,,0,,Lower-priority / background candidate
1,PI16,1,0.73537,0.63026,0.7522,0.64348,0.85263,0.87922,0.89972,0.73463,267,219,182,480,85,-0.01683,-0.04709,False,True,191,0.84155,0,,0,,Known/current-positive high-confidence recovery
2,GPA33,0,0.32018,0.38043,0.34664,0.48561,0.23656,0.0831,0.25319,0.47091,1379,1656,1349,956,30,-0.02646,-0.01662,False,True,1413,0.26094,0,,0,,Lower-priority / background candidate
3,CFAP300,0,0.43657,0.48343,0.40859,0.37456,0.40942,0.4759,0.35568,0.28532,1067,947,1164,1291,-97,0.02798,0.05374,True,False,1159,0.38158,0,,0,,Lower-priority / background candidate
4,KCNK16,1,0.8002,0.54314,0.82837,0.8305,0.93629,0.68975,0.98282,0.99391,116,561,32,12,84,-0.02817,-0.04654,False,True,97,0.90069,0,,0,,Known/current-positive high-confidence recovery
5,TM6SF2,1,0.2815,0.49842,0.36068,0.41258,0.17396,0.54515,0.27978,0.34404,1492,822,1301,1185,191,-0.07919,-0.10582,False,True,1248,0.33573,0,,0,,Current-positive low-rank / possible model miss
6,OSGIN2,0,0.56388,0.39565,0.55514,0.60196,0.59612,0.12909,0.58227,0.6626,730,1573,755,610,-25,0.00874,0.01385,True,False,924,0.49252,0,,0,,Lower-priority / background candidate
7,MOSMO,0,0.52724,0.45641,0.56625,0.53405,0.54294,0.3651,0.59612,0.54294,826,1147,730,826,96,-0.03901,-0.05319,False,True,876,0.51177,0,,0,,Lower-priority / background candidate
8,IBA57,0,0.3394,0.43001,0.31165,0.406,0.26648,0.25485,0.20055,0.33573,1325,1346,1444,1200,-119,0.02775,0.06593,True,False,1405,0.2644,0,,0,,Lower-priority / background candidate
9,STEAP1,1,0.75371,0.62818,0.64257,0.65238,0.88089,0.8759,0.72299,0.75291,216,225,501,447,-285,0.11114,0.15789,True,False,246,0.80817,0,,0,,Lower-priority / background candidate
10,UGT3A1,1,0.6324,0.53495,0.58243,0.62214,0.70637,0.66814,0.62493,0.69418,531,600,678,553,-147,0.04997,0.08144,True,False,521,0.67341,0,,0,,Lower-priority / background candidate
11,GTF2IRD2,1,0.69536,0.54393,0.60977,0.57316,0.79723,0.69474,0.66759,0.61662,367,552,601,693,-234,0.08559,0.12964,True,False,480,0.69404,0,,0,,Lower-priority / background candidate
12,SNX2,1,0.38118,0.45403,0.35666,0.41717,0.33407,0.36011,0.27091,0.35346,1203,1156,1317,1168,-114,0.02452,0.06316,True,False,1266,0.32964,0,,0,,Current-positive low-rank / possible model miss
13,BNC1,0,0.63116,0.53881,0.66974,0.69931,0.7036,0.67756,0.77008,0.83989,536,583,416,290,120,-0.03858,-0.06648,False,True,372,0.74778,0,,0,,Lower-priority / background candidate
14,KCNK17,0,0.72897,0.55215,0.63779,0.55321,0.84377,0.7169,0.71136,0.57673,283,512,522,765,-239,0.09118,0.13241,True,False,446,0.71219,0,,0,,Lower-priority / background candidate
15,VPS33A,1,0.55214,0.50182,0.53612,0.47905,0.58172,0.55512,0.55346,0.4554,756,804,807,984,-51,0.01602,0.02825,True,False,829,0.53643,0,,0,,Lower-priority / background candidate
16,SMIM39,0,0.23152,0.41143,0.2008,0.23937,0.08366,0.18393,0.05596,0.08366,1655,1474,1705,1655,-50,0.03072,0.0277,True,False,1719,0.1018,0,,0,,Lower-priority / background candidate
17,UBE3B,1,0.68308,0.63233,0.65495,0.5267,0.78061,0.88366,0.74072,0.5313,397,211,469,847,-72,0.02812,0.03989,True,False,398,0.73407,0,,0,,Lower-priority / background candidate
18,PNOC,0,0.29935,0.59271,0.4488,0.32235,0.20055,0.81939,0.41994,0.20776,1444,327,1048,1431,396,-0.14946,-0.21939,False,True,1089,0.41191,0,,0,,Lower-priority / background candidate
19,PROX1,0,0.54003,0.50404,0.59532,0.52566,0.56454,0.56454,0.64432,0.52909,787,787,643,851,144,-0.05529,-0.07978,False,True,743,0.57562,1,Known_T2D_GWAS_loci,0,,Lower-priority / background candidate
20,DNAH11,1,0.85134,0.6782,0.81943,0.73368,0.98393,0.95069,0.97507,0.89584,30,90,46,189,-16,0.0319,0.00887,True,False,28,0.95139,0,,0,,Known/current-positive high-confidence recovery
21,NEXMIF,0,0.8908,0.63761,0.87524,0.87262,0.99889,0.89418,0.99723,1.0,3,192,6,1,-3,0.01557,0.00166,True,False,10,0.97258,0,,0,,High-ranked current-negative candidate requiring audit
22,SORCS2,1,0.37434,0.35052,0.38099,0.51278,0.32465,0.03324,0.31246,0.51136,1220,1746,1242,883,-22,-0.00666,0.01219,True,False,1338,0.29543,0,,0,,Current-positive low-rank / possible model miss
23,HAGHL,1,0.44024,0.51402,0.48522,0.32382,0.41274,0.59889,0.47202,0.21053,1061,725,954,1426,107,-0.04498,-0.05928,False,True,1066,0.42355,0,,0,,Current-positive low-rank / possible model miss
24,ENPP3,0,0.24057,0.54279,0.30049,0.25542,0.09751,0.68864,0.18449,0.10249,1630,563,1473,1621,157,-0.05991,-0.08698,False,True,1391,0.26828,0,,0,,Lower-priority / background candidate
25,KCNG4,1,0.43679,0.40633,0.47766,0.51561,0.41053,0.16676,0.46094,0.51357,1065,1505,974,879,91,-0.04087,-0.05042,False,True,1141,0.38795,0,,0,,Current-positive low-rank / possible model miss
