gene_symbol_upper,handcrafted_rank,dnabert2_rank,rank_delta_dnabert2_minus_handcrafted,handcrafted_score,dnabert2_score,score_delta_dnabert2_minus_handcrafted,gene_id,gene_symbol,true_label,rank_improvement_by_dnabert2,top50_membership,top100_membership,rank_shift_category,rank_direction,abs_rank_shift,abs_score_shift
WDR3,79,190,111,0.6409,0.3671,-0.2738,ENSG00000065183,WDR3,0,-111,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,111,0.2738
NDUFA13,53,151,98,0.6944,0.4408,-0.2535,ENSG00000186010,NDUFA13,1,-98,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,98,0.2535
USP19,172,262,90,0.3795,0.1918,-0.1877,ENSG00000172046,USP19,0,-90,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,90,0.1877
NDUFB3,19,104,85,0.7789,0.5697,-0.2092,ENSG00000119013,NDUFB3,1,-85,moved_out_from_handcrafted,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,85,0.2092
RALY,30,114,84,0.7581,0.5347,-0.2234,ENSG00000125970,RALY,1,-84,moved_out_from_handcrafted,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,84,0.2234
PARP8,115,33,-82,0.5407,0.7399,0.1991,ENSG00000151883,PARP8,1,82,moved_in_by_DNABERT2,moved_in_by_DNABERT2,large_up_by_DNABERT2,DNABERT2_ranked_higher,82,0.1991
ZNF326,116,187,71,0.535,0.3799,-0.1551,ENSG00000162664,ZNF326,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1551
SAFB2,159,230,71,0.4087,0.2779,-0.1308,ENSG00000130254,SAFB2,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1308
CIC,173,244,71,0.3782,0.2493,-0.1289,ENSG00000079432,CIC,0,-71,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,71,0.1289
CHRNA1,89,19,-70,0.6176,0.7656,0.1479,ENSG00000138435,CHRNA1,0,70,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,70,0.1479
FHOD1,179,249,70,0.3657,0.2351,-0.1305,ENSG00000135723,FHOD1,0,-70,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,70,0.1305
NDUFA7,29,98,69,0.7594,0.587,-0.1724,ENSG00000267855,NDUFA7,1,-69,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,69,0.1724
CXXC1,142,209,67,0.4602,0.3089,-0.1513,ENSG00000154832,CXXC1,0,-67,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,67,0.1513
ARID5B,71,137,66,0.6593,0.4681,-0.1912,ENSG00000150347,ARID5B,1,-66,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,66,0.1912
SOS2,214,148,-66,0.3016,0.4424,0.1408,ENSG00000100485,SOS2,1,66,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,66,0.1408
ANKRD55,194,129,-65,0.3394,0.5,0.1606,ENSG00000164512,ANKRD55,1,65,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,65,0.1606
TLCD5,210,146,-64,0.3134,0.4454,0.1319,ENSG00000181264,TLCD5,0,64,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,64,0.1319
SHROOM3,170,234,64,0.3812,0.2744,-0.1068,ENSG00000138771,SHROOM3,1,-64,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,64,0.1068
USP44,204,141,-63,0.3228,0.4584,0.1356,ENSG00000136014,USP44,1,63,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,63,0.1356
TMEM87A,128,191,63,0.4942,0.3668,-0.1274,ENSG00000103978,TMEM87A,0,-63,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,63,0.1274
ANKFN1,224,163,-61,0.2842,0.408,0.1238,ENSG00000153930,ANKFN1,0,61,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,61,0.1238
MYBL2,80,140,60,0.6387,0.4651,-0.1736,ENSG00000101057,MYBL2,1,-60,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,60,0.1736
NOA1,208,265,57,0.3152,0.1751,-0.14,ENSG00000084092,NOA1,0,-57,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,57,0.14
TNFAIP3,215,158,-57,0.2989,0.4227,0.1238,ENSG00000118503,TNFAIP3,1,57,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,57,0.1238
ILVBL,55,110,55,0.693,0.5481,-0.1449,ENSG00000105135,ILVBL,0,-55,outside_both,moved_out_from_handcrafted,large_down_by_DNABERT2,DNABERT2_ranked_lower,55,0.1449
GATD3,23,77,54,0.7709,0.6461,-0.1248,ENSG00000160221,GATD3,0,-54,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1248
PSMD6,166,112,-54,0.3875,0.5401,0.1526,ENSG00000163636,PSMD6,1,54,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,54,0.1526
KLHL7,132,186,54,0.4918,0.3811,-0.1107,ENSG00000122550,KLHL7,0,-54,outside_both,outside_both,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1107
SLC5A1,20,74,54,0.7724,0.6508,-0.1216,ENSG00000100170,SLC5A1,1,-54,moved_out_from_handcrafted,shared,large_down_by_DNABERT2,DNABERT2_ranked_lower,54,0.1216
IGSF21,88,35,-53,0.6208,0.7366,0.1158,ENSG00000117154,IGSF21,1,53,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,53,0.1158
GPAT4,109,56,-53,0.5723,0.6808,0.1085,ENSG00000158669,GPAT4,1,53,outside_both,moved_in_by_DNABERT2,large_up_by_DNABERT2,DNABERT2_ranked_higher,53,0.1085
DCSTAMP,229,176,-53,0.2743,0.3911,0.1169,ENSG00000164935,DCSTAMP,1,53,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,53,0.1169
MAGI1,54,3,-51,0.6936,0.8457,0.1521,ENSG00000151276,MAGI1,1,51,moved_in_by_DNABERT2,shared,large_up_by_DNABERT2,DNABERT2_ranked_higher,51,0.1521
MFSD6L,167,117,-50,0.3855,0.5307,0.1452,ENSG00000185156,MFSD6L,0,50,outside_both,outside_both,large_up_by_DNABERT2,DNABERT2_ranked_higher,50,0.1452
NOS2,187,139,-48,0.3514,0.4667,0.1153,ENSG00000007171,NOS2,1,48,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,48,0.1153
KIF16B,211,259,48,0.3129,0.2001,-0.1128,ENSG00000089177,KIF16B,0,-48,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,48,0.1128
SLC38A11,107,59,-48,0.5754,0.6757,0.1004,ENSG00000169507,SLC38A11,1,48,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,48,0.1004
TIGAR,192,144,-48,0.341,0.4493,0.1082,ENSG00000078237,TIGAR,1,48,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,48,0.1082
PGBD5,139,93,-46,0.4643,0.606,0.1417,ENSG00000177614,PGBD5,0,46,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,46,0.1417
DRC7,263,218,-45,0.1733,0.2933,0.12,ENSG00000159625,DRC7,0,45,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,45,0.12
PIGT,198,154,-44,0.3319,0.4294,0.0974,ENSG00000124155,PIGT,0,44,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,44,0.0974
ADO,154,198,44,0.4199,0.3488,-0.0711,ENSG00000181915,ADO,1,-44,outside_both,outside_both,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,44,0.0711
SMPDL3A,59,103,44,0.6904,0.5702,-0.1202,ENSG00000172594,SMPDL3A,0,-44,outside_both,moved_out_from_handcrafted,moderate_down_by_DNABERT2,DNABERT2_ranked_lower,44,0.1202
LRRC37A3,247,204,-43,0.2264,0.3233,0.0969,ENSG00000176809,LRRC37A3,0,43,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,43,0.0969
STOX2,144,101,-43,0.4526,0.5725,0.1199,ENSG00000173320,STOX2,0,43,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,43,0.1199
TMC3,178,135,-43,0.3683,0.479,0.1107,ENSG00000188869,TMC3,0,43,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,43,0.1107
B3GLCT,95,53,-42,0.6005,0.6844,0.0838,ENSG00000187676,B3GLCT,1,42,outside_both,shared,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,42,0.0838
SCTR,105,63,-42,0.5795,0.6683,0.0889,ENSG00000080293,SCTR,1,42,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,42,0.0889
TBC1D8,106,65,-41,0.5757,0.6665,0.0909,ENSG00000204634,TBC1D8,0,41,outside_both,moved_in_by_DNABERT2,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,41,0.0909
ALOXE3,201,160,-41,0.3281,0.4218,0.0936,ENSG00000179148,ALOXE3,0,41,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,41,0.0936
MT4,222,183,-39,0.2917,0.3826,0.0909,ENSG00000102891,MT4,0,39,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,39,0.0909
FOCAD,207,168,-39,0.3176,0.3966,0.079,ENSG00000188352,FOCAD,1,39,outside_both,outside_both,moderate_up_by_DNABERT2,DNABERT2_ranked_higher,39,0.079
